,Quarter,Receipts in trillion U.S. dollars
0,Q3 '20,5.9
1,Q2 '20,5.55
2,Q1 '20,5.93
3,Q4 '19,5.93
4,Q3 '19,5.86
5,Q2 '19,5.89
6,Q1 '19,5.8
7,Q4 '18,5.73
8,Q3 '18,5.72
9,Q2 '18,5.6
10,Q1 '18,5.58
11,Q4 '17,6.6
12,Q3 '17,5.52
13,Q2 '17,5.45
14,Q1 '17,5.47
15,Q4 '16,5.43
16,Q3 '16,5.39
17,Q2 '16,5.33
18,Q1 '16,5.31
19,Q4 '15,5.45
20,Q3 '15,5.3
21,Q2 '15,5.3
22,Q1 '15,5.21
23,Q4 '14,5.12
24,Q3 '14,5.1
25,Q2 '14,5.08
26,Q1 '14,5.01
27,Q4 '13,4.98
28,Q3 '13,4.79
29,Q2 '13,4.97
30,Q1 '13,4.69
31,Q4 '12,4.44
32,Q3 '12,4.32
33,Q2 '12,4.3
34,Q1 '12,4.27
35,Q4 '11,4.18
36,Q3 '11,4.14
37,Q2 '11,4.14
38,Q1 '11,4.12
39,Q4 '10,4.05
40,Q3 '10,4.0
41,Q2 '10,3.91
42,Q1 '10,3.85
43,Q4 '09,3.79
44,Q3 '09,3.71
45,Q2 '09,3.69
46,Q1 '09,3.7
