,Month,Unit sales
0,Oct '20,476
1,Sep '20,997
2,Aug '20,445
3,Jul '20,829
4,Jun '20,1282
5,May '20,365
6,Apr '20,69
7,Mar '20,1207
8,Feb '20,261
9,Jan '20,485
10,Dec '19,351
11,Nov '19,344
12,Oct '19,404
13,Sep '19,961
14,Aug '19,436
15,Jul '19,717
16,Jun '19,1324
17,May '19,1010
18,Apr '19,739
19,Mar '19,1333
20,Feb '19,185
21,Jan '19,293
22,Dec ´18,289
23,Nov ´18,562
24,Oct '18,374
25,Sep '18,945
26,Aug '18,500
27,Jul '18,697
28,Jun '18,1329
29,May '18,1014
30,Apr '18,840
31,Mar '18,1348
32,Feb '18,189
33,Jan '18,404
34,Dec ´17,366
35,Nov ´17,396
36,Oct ´17,504
