,U.S. federal government agency,Index score
0,Nuclear Regulatory Commission,77
1,National Aeronautics and Space Administration,74
2,Department of State,73
3,Social Security Administration,72
4,Federal Trade Commission,71
5,Office of Personnel Management,71
6,National Credit Union Administration,71
7,Court Services and Offender Supervision Agency,70
8,General Services Administration,70
9,Department of Justice,70
10,Department of the Treasury,70
11,Environmental Protection Agency,69
12,Department of Commerce,69
13,Pension Benefit Guaranty Corporation,69
14,DoD - All of Dod Combined,68
