,National team managers at the 2014 soccer World Cup in Brazil,Yearly earnings in million U.S. dollars
0,Fabio Capello (Russia),11.23
1,Roy Hodgson (England),5.87
2,Cesare Prandelli (Italy),4.32
3,Luiz Felipe Scolari (Brazil),3.97
4,Ottmar Hitzfeld (Switzerland),3.74
5,Joachim Löw (Germany),3.6
6,Vicente del Bosque (Spain),3.38
7,Louis van Gaal (Holland),2.74
8,Alberto Zaccheroni (Japan),2.73
9,Jürgen Klinsmann (USA),2.62
10,Didier Deschamps (France),2.16
11,Paulo Bento (Portugal),2.16
12,Carlos Queiroz (Iran),2.1
13,Jorge Sampaoli (Chile),1.77
14,Jose Pekerman (Colombia),1.68
15,Ange Postecoglou (Australia),1.39
16,Oscar Tabarez (Uruguay),1.26
17,Sabri Lamouchi (Ivory Coast),1.04
18,Vahid Halihodzic (Algeria),1.01
19,Marc Wilmots (Belgium),0.86
20,Fernando Santos (Greece),0.86
21,Alejandro Sabella (Argentina),0.82
22,Hong Myung-Bo (South Korea),0.79
23,Luis Fernando Suarez (Honduras),0.63
24,Reinaldo Rueda (Ecuador),0.57
25,Jorge Luis Pinto (Costa Rica),0.44
26,Volker Finke (Cameroon),0.39
27,Stephen Keshi (Nigeria),0.39
28,Safet Susic (Bosnia),0.35
29,Niko Kovac (Croatia),0.27
30,James Kwesi Appiah (Ghana),0.25
31,Miguel Herrera (Mexico),0.21
