,Year,Number of confirmed cases
0,1/7/2021,4951
1,1/6/2021,5719
2,1/5/2021,4729
3,1/4/2021,3130
4,1/3/2021,3034
5,1/2/2021,1194
6,1/1/2021,3938
7,12/31/2020,4322
8,12/30/2020,4875
9,12/29/2020,4637
10,12/28/2020,2620
11,12/27/2020,2049
12,12/26/2020,1387
13,12/25/2020,3812
14,12/24/2020,4310
15,12/23/2020,5459
16,12/22/2020,5009
17,12/21/2020,2489
18,12/20/2020,3350
19,12/19/2020,5158
20,12/18/2020,5340
21,12/17/2020,5697
22,12/16/2020,5991
23,12/15/2020,6171
24,12/14/2020,3252
25,12/13/2020,4435
26,12/12/2020,6333
27,12/11/2020,6460
28,12/10/2020,7067
29,12/9/2020,7365
30,12/8/2020,7439
31,12/7/2020,3660
32,12/6/2020,5231
33,12/5/2020,8072
34,12/3/2020,7661
35,12/2/2020,4916
36,12/1/2020,4272
37,11/30/2020,3826
38,11/29/2020,5554
39,11/28/2020,8134
40,11/27/2020,8499
41,11/26/2020,9005
42,11/25/2020,9739
43,11/24/2020,7753
44,11/23/2020,4207
45,11/22/2020,5837
46,11/20/2020,9272
47,11/19/2020,10108
48,11/18/2020,10269
49,11/17/2020,8262
50,11/16/2020,4931
51,11/15/2020,7096
52,11/14/2020,9469
53,11/12/2020,10142
54,11/11/2020,9799
55,11/10/2020,7304
56,11/9/2020,3240
57,11/8/2020,6752
58,11/7/2020,9937
59,11/6/2020,10260
60,11/5/2020,9714
61,11/4/2020,8651
62,11/3/2020,7733
63,11/2/2020,4041
64,11/1/2020,5342
65,10/31/2020,5753
66,10/30/2020,6546
67,10/29/2020,6481
68,10/28/2020,5343
69,10/27/2020,4724
70,10/26/2020,2844
71,10/25/2020,3855
72,10/24/2020,4761
73,10/23/2020,5028
74,10/22/2020,4902
75,10/21/2020,4848
76,10/20/2020,3400
77,10/19/2020,2466
78,10/18/2020,3920
79,10/17/2020,3952
80,10/16/2020,4026
81,10/15/2020,4013
82,10/14/2020,4016
83,10/13/2020,3109
84,10/12/2020,2069
85,10/11/2020,2880
86,10/10/2020,3517
87,10/9/2020,3186
88,10/8/2020,3130
89,10/7/2020,2958
90,10/6/2020,2121
91,10/5/2020,1591
92,10/4/2020,1835
93,10/3/2020,2064
94,10/2/2020,2343
95,10/1/2020,2086
96,9/29/2020,1470
97,9/27/2020,1438
98,9/25/2020,1629
99,9/23/2020,1767
100,9/21/2020,808
101,9/19/2020,1333
102,9/17/2020,1679
103,9/15/2020,1111
104,9/13/2020,1109
105,9/11/2020,1391
106,9/9/2020,1271
107,9/7/2020,883
108,9/5/2020,1269
109,9/3/2020,1365
110,9/1/2020,1053
111,8/30/2020,952
112,8/28/2020,1318
113,8/26/2020,1256
114,8/24/2020,825
115,8/22/2020,1189
116,8/20/2020,1346
117,8/18/2020,1014
118,8/16/2020,1087
119,8/14/2020,1415
120,8/12/2020,1415
121,8/10/2020,779
122,8/8/2020,1350
123,8/6/2020,1345
124,8/4/2020,1232
125,8/2/2020,1075
126,7/31/2020,1295
127,7/29/2020,1182
128,7/27/2020,1104
129,7/25/2020,1284
130,7/23/2020,1112
131,7/21/2020,994
132,7/19/2020,767
133,7/17/2020,799
134,7/15/2020,641
135,7/13/2020,413
136,7/11/2020,698
137,7/9/2020,614
138,7/7/2020,397
139,7/5/2020,391
140,7/3/2020,420
141,7/1/2020,326
