,Year,Gross domestic product in billion international dollars
0,2021*,210.17
1,2020*,200.2
2,2019*,204.76
3,2018,200.31
4,2017,192.16
5,2016,187.96
6,2015,177.35
7,2014,167.71
8,2013,162.35
9,2012,151.8
10,2011,136.52
11,2010,130.38
12,2009,126.41
13,2008,118.22
14,2007,107.18
15,2006,99.93
16,2005,92.04
17,2004,87.1
18,2003,83.73
19,2002,84.46
20,2001,84.07
21,2000,78.73
22,1999,72.28
23,1998,71.01
24,1997,68.37
25,1996,63.3
26,1995,60.42
27,1994,56.45
28,1993,53.23
29,1992,48.98
30,1991,44.14
31,1990,40.27
32,1989,35.81
33,1988,33.46
34,1987,30.71
35,1986,31.22
36,1985,29.96
37,1984,25.36
