,Month,Repayments in million GBP
0,Nov '19,11908
1,Oct '19,11763
2,Sep '19,12007
3,Aug '19,12194
4,Jul '19,12088
5,Jun '19,12363
6,May '19,12135
7,Apr '19,12130
8,Mar '19,12386
9,Feb '19,12349
10,Jan '19,12152
11,Dec '18,11907
12,Nov '18,12392
13,Oct '18,12367
14,Sep '18,12733
15,Aug '18,12591
16,Jul '18,12598
17,Jun '18,12641
18,May '18,12447
19,Apr '18,12704
20,Mar '18,12919
21,Feb '18,12813
22,Jan '18,12600
23,Dec '17,12542
24,Nov '17,13007
25,Oct '17,13061
26,Sep '17,13238
27,Aug '17,13026
28,Jul '17,13070
29,Jun '17,13047
30,May '17,13127
31,Apr '17,13058
32,Mar '17,13152
33,Feb '17,13260
34,Jan '17,12931
35,Dec '16,12527
36,Nov '16,12803
37,Oct '16,12861
38,Sep '16,12983
39,Aug '16,12113
40,Jul '16,12213
41,Jun '16,11984
42,May '16,12172
