,Month,House price index (2015=100)
0,Aug' 20,128.23
1,Jul '20,128.23
2,Jun '20,128.23
3,May '20,128.23
4,Apr '20,128.23
5,Mar '20,127.34
6,Feb '20,127.34
7,Jan '20,127.34
8,Dec '19,124.98
9,Nov '19,124.98
10,Oct '19,124.98
11,Sep '19,126.54
12,Aug '19,126.54
13,Jul '19,126.54
14,Jun '19,123.02
15,May '19,123.02
16,Apr '19,123.02
17,Mar '19,121.86
18,Feb '19,121.86
19,Jan '19,121.86
20,Dec '18,124.5
21,Nov '18,124.5
22,Oct '18,124.5
23,Sep '18,121.97
24,Aug '18,121.97
25,Jul '18,121.97
26,Jun '18,118.6
27,May '18,118.6
28,Apr '18,118.6
29,Mar '18,116.4
30,Feb '18,116.4
31,Jan '18,116.4
32,Dec '17,115.41
33,Nov '17,115.41
34,Oct '17,115.41
35,Sep '17,115.99
36,Aug '17,115.99
37,Jul '17,115.99
38,Jun '17,113.58
39,May '17,113.58
40,Apr '17,113.58
41,Mar '17,110.78
42,Feb '17,110.78
43,Jan '17,110.78
44,Dec '16,112.69
45,Nov '16,112.69
46,Oct '16,112.69
47,Sep '16,112.38
48,Aug '16,112.38
49,Jul '16,112.38
50,Jun '16,112.79
51,May '16,112.79
52,Apr '16,112.79
53,Mar '16,105.01
54,Feb '16,105.01
55,Jan '16,105.01
56,Dec '15,106.93
57,Nov '15,106.93
58,Oct '15,106.93
59,Sep '15,106.77
60,Aug '15,106.77
61,Jul '15,106.77
62,Jun '15,102.5
63,May '15,102.5
64,Apr '15,102.5
65,Mar '15,100.0
66,Feb '15,100.0
67,Jan '15,100.0
