,Year,GDP per capita in U.S. dollars
0,2024*,1411.77
1,2023*,1328.18
2,2022*,1248.69
3,2021*,1161.57
4,2020*,1066.2
5,2019*,953.18
6,2018*,852.88
7,2017*,817.49
8,2016,777.29
9,2015,702.77
10,2014,613.1
11,2013,535.26
12,2012,493.32
13,2011,379.38
14,2010,360.83
15,2009,397.81
16,2008,334.15
17,2007,249.21
18,2006,198.34
19,2005,165.22
20,2004,138.55
21,2003,120.87
22,2002,116.79
23,2001,125.72
24,2000,129.68
25,1999,128.21
26,1998,134.23
27,1997,152.17
28,1996,155.12
29,1995,152.66
30,1994,151.97
31,1993,176.47
32,1992,293.35
33,1991,287.65
34,1990,269.08
35,1989,262.23
36,1988,257.56
37,1987,256.7
38,1986,247.98
39,1985,246.51
40,1984,217.42
