,Year,Gross domestic product in billion U.S. dollars
0,2024*,178.17
1,2023*,188.43
2,2022*,185.73
3,2021*,181.57
4,2020*,178.64
5,2019*,172.78
6,2018,173.76
7,2017,167.39
8,2016,160.03
9,2015,165.98
10,2014,213.81
11,2013,209.76
12,2012,209.02
13,2011,200.25
14,2010,161.21
15,2009,137.05
16,2008,171.0
17,2007,134.98
18,2006,117.03
19,2005,103.2
20,2004,85.33
21,2003,67.86
22,2002,56.76
23,2001,54.75
24,2000,54.75
25,1999,48.85
26,1998,48.19
27,1997,48.18
28,1996,46.94
29,1995,42.07
30,1994,42.43
31,1993,50.96
32,1992,49.22
33,1991,46.67
34,1990,61.89
35,1989,52.56
36,1988,51.66
37,1987,63.3
38,1986,61.54
39,1985,61.13
40,1984,51.51
