,Response,Share of respondents
0,Get info/data about the federal government,37%
1,Get info/data about the state government,34%
2,Get info/data about the local government,32%
3,Learn about government-operated recreational activities,27%
4,Renew a driver's license or car registration,18%
5,Learn about or apply for government benefits,13%
6,Pay a fine such as a parking ticket or a toll,11%
7,Apply for or renew a hunting or fishing license,4%
8,Use 311 service to report online a problem to their local government,2%
9,Do at least one of the activities above,76%
