,Account Name,Twitter followers in millions
0,"Donald Trump, United States  @RealDonaldTrump",61
1,"Pope Francis, Vatican  @Pontifex*",48
2,"Narendra Modi, India  @NarendraModi (personal account)",48
3,"Narendra Modi, India  @PMOIndia (institutional account)",29
4,"President, United States @POTUS",26
5,"The White House, United States @WhiteHouse",18
6,"Recep Tayyip Erdoğan, Turkey  @RTErdogan",13
7,"Joko Widodo, Indonesia @Jokowi",11
8,"Queen Rania, Jordan @QueenRania",10
9,"Imran Khan, Pakistan @imrankhanpti",9
