,Month,Sports betting handle in million U.S. dollars
0,Aug '20,474.95
1,Jul '20,165.55
2,Jun '20,78.15
3,Apr & May '20,56.26
4,Mar '20,141.11
5,Feb '20,489.11
6,Jan '20,502.54
7,Dec '19,571.18
8,Nov '19,614.12
9,Oct '19,543.55
10,Sep '19,546.36
11,Aug '19,287.76
12,Jul '19,235.66
13,Jun '19,322.08
14,May '19,317.38
15,Apr '19,328.12
16,Mar '19,596.75
17,Feb '19,458.59
18,Jan '19,497.48
19,Dec '18,561.86
20,Nov '18,581.07
21,Oct '18,528.57
22,Sep '18,571.03
23,Aug '18,247.62
24,Jul '18,244.64
25,Jun '18,286.55
