,association football club,Soccer Power Index
0,Bayern Munich,94.0
1,Manchester City,92.0
2,Paris Saint-Germain,90.6
3,Barcelona,89.6
4,Liverpool,88.8
5,Real Madrid,88.6
6,Atletico Madrid,86.6
7,RB Leipzig,86.2
8,Borussia Dortmund,85.6
9,Internazionale,83.9
10,Chelsea,83.7
11,Manchester United,82.0
12,Napoli,81.9
13,Sevilla FC,81.6
14,Juventus,81.5
15,RB Salzburg,81.1
16,AC Milan,80.7
17,Tottenham Hotspur,80.6
18,Real Sociedad,80.6
19,Atalanta,79.0
20,Arsenal,78.9
21,Bayer Leverkusen,78.8
22,Leicester City,78.7
23,Zenit St. Petersburg,78.6
24,Borussia Mönchengladbach,77.4
25,Everton,76.8
26,Benfica,76.4
27,Lyon,76.3
28,Villarreal,76.1
29,FC Porto,75.8
30,Wolverhampton Wanderers,75.8
31,Getafe,75.5
32,AS Roma,75.3
33,Olympiacos,75.2
34,Shakhtar Donetsk,75.1
35,Ajax,74.5
36,West Ham,74.1
37,Aston Villa,73.9
38,Eintracht Frankfurt,73.4
39,Lille,73.1
40,Hoffenheim,73.1
41,Southampton,73.0
42,Granada,72.2
43,VfL Wolfsburg,72.2
44,Real Betis,71.6
45,Brighton,71.5
46,Celta Vigo,71.0
47,Flamengo,70.5
48,Lazio,70.5
49,Club Brugge,70.0
50,Athletic Bilbao,69.8
