,Month,Number of patients in ICU
0,Dec 15,531
1,Dec 14,540
2,Dec 13,532
3,Dec 12,509
4,Dec 11,509
5,Dec 10,510
6,Dec 9,507
7,Dec 8,510
8,Dec 7,506
9,Dec 6,508
10,Dec 5,506
11,Dec 4,511
12,Dec 3,501
13,Dec 2,509
14,Dec 1,511
15,Nov 30,518
16,Nov 29,523
17,Nov 28,538
18,Nov 27,549
19,Nov 26,565
20,Nov 25,570
21,Nov 24,564
22,Nov 23,570
23,Nov 22,569
24,Nov 21,568
25,Nov 20,586
26,Nov 19,593
27,Nov 18,591
28,Nov 17,607
29,Nov 16,622
30,Nov 15,625
31,Nov 14,622
32,Nov 13,646
33,Nov 12,651
34,Nov 11,654
35,Nov 10,654
36,Nov 9,654
37,Nov 8,646
38,Nov 7,641
39,Nov 6,650
40,Nov 5,653
41,Nov 4,655
42,Nov 3,650
43,Nov 2,652
44,Nov 1,629
45,Oct 31,620
46,Oct 30,614
47,Oct 29,606
48,Oct 28,594
49,Oct 27,577
50,Oct 26,564
51,Oct 25,538
52,Oct 24,523
53,Oct 23,515
54,Oct 22,503
55,Oct 21,491
56,Oct 20,476
57,Oct 19,448
58,Oct 18,410
59,Oct 17,387
60,Oct 16,394
61,Oct 15,357
62,Oct 14,339
63,Oct 13,320
64,Oct 12,300
65,Oct 11,278
66,Oct 10,273
67,Oct 9,273
68,Oct 8,256
69,Oct 7,251
70,Oct 6,238
71,Oct 5,217
72,Oct 4,202
73,Oct 3,189
74,Oct 2,180
75,Oct 1,180
76,Sep 30,175
77,Sep 29,171
78,Sep 28,163
79,Sep 27,155
80,Sep 26,143
81,Sep 25,139
82,Sep 24,125
83,Sep 23,118
84,Sep 22,111
85,Sep 21,103
86,Sep 20,94
87,Sep 19,81
88,Sep 18,70
89,Sep 17,66
90,Sep 16,66
91,Sep 15,71
92,Sep 14,70
93,Sep 13,60
94,Sep 12,58
95,Sep 11,54
96,Sep 10,49
97,Sep 9,46
98,Sep 8,47
99,Sep 7,46
100,Sep 6,45
101,Sep 5,41
102,Sep 4,45
103,Sep 3,41
104,Sep 2,39
105,Sep 1,41
106,Aug 31,45
107,Aug 30,46
108,Aug 29,41
109,Aug 28,41
110,Aug 27,43
111,Aug 26,43
112,Aug 25,45
113,Aug 24,50
114,Aug 23,50
115,Aug 22,47
116,Aug 21,51
117,Aug 20,47
118,Aug 19,46
119,Aug 18,47
120,Aug 17,52
121,Aug 16,43
122,Aug 15,42
123,Aug 14,44
124,Aug 13,39
125,Aug 12,42
126,Aug 11,42
127,Aug 10,39
128,Aug 9,40
129,Aug 8,35
130,Aug 7,34
131,Aug 6,34
132,Aug 5,32
133,Aug 4,33
134,Aug 3,32
135,Aug 2,29
136,Aug 1,28
137,Jul 31,27
138,Jul 30,24
139,Jul 29,22
140,Jul 28,23
141,Jul 27,24
142,Jul 26,20
143,Jul 25,20
144,Jul 24,23
145,Jul 23,24
146,Jul 22,26
147,Jul 21,26
148,Jul 20,24
149,Jul 19,24
150,Jul 18,23
151,Jul 17,24
152,Jul 16,25
153,Jul 15,25
154,Jul 14,25
155,Jul 13,28
156,Jul 12,29
157,Jul 11,28
158,Jul 10,30
159,Jul 9,29
160,Jul 8,29
161,Jul 7,32
162,Jul 6,34
163,Jul 5,34
164,Jul 4,36
165,Jul 3,35
166,Jul 2,38
167,Jul 1,36
168,Jun 30,40
169,Jun 29,41
170,Jun 28,41
171,Jun 27,45
172,Jun 26,50
173,Jun 25,56
174,Jun 24,56
175,Jun 23,60
176,Jun 22,67
177,Jun 21,65
178,Jun 20,69
179,Jun 19,71
180,Jun 18,76
181,Jun 17,83
182,Jun 16,91
183,Jun 15,100
184,Jun 14,101
185,Jun 13,102
186,Jun 12,104
187,Jun 11,107
188,Jun 10,111
189,Jun 9,114
190,Jun 8,122
191,Jun 7,123
192,Jun 6,124
193,Jun 5,126
194,Jun 4,128
195,Jun 3,130
196,Jun 2,144
197,Jun 1,149
198,May 31,152
199,May 30,149
200,May 29,158
201,May 28,168
202,May 27,176
203,May 26,190
204,May 25,213
205,May 24,223
206,May 23,224
207,May 22,240
208,May 21,251
209,May 20,272
210,May 19,282
211,May 18,315
212,May 17,320
213,May 16,327
214,May 15,343
215,May 14,359
216,May 13,385
217,May 12,403
218,May 11,445
219,May 10,451
220,May 9,469
221,May 8,491
222,May 7,522
223,May 6,543
224,May 5,570
225,May 4,612
226,May 3,621
227,May 2,635
228,May 1,673
229,Apr 30,708
230,Apr 29,732
231,Apr 28,760
232,Apr 27,781
233,Apr 26,804
234,Apr 25,828
235,Apr 24,858
236,Apr 23,875
237,Apr 22,917
238,Apr 21,973
239,Apr 20,1010
240,Apr 19,1029
241,Apr 18,1058
242,Apr 17,1104
243,Apr 16,1134
244,Apr 15,1167
245,Apr 14,1192
246,Apr 13,1215
247,Apr 12,1232
248,Apr 11,1250
249,Apr 10,1285
250,Apr 9,1278
251,Apr 8,1283
252,Apr 7,1316
253,Apr 6,1314
254,Apr 5,1306
255,Apr 4,1282
256,Apr 3,1278
257,Apr 2,1251
258,Apr 1,1210
259,Mar 31,1193
260,Mar 30,1128
261,Mar 29,1040
262,Mar 28,993
263,Mar 27,928
264,Mar 26,840
265,Mar 25,754
266,Mar 24,655
267,Mar 23,575
268,Mar 22,482
269,Mar 21,432
270,Mar 20,363
271,Mar 19,288
272,Mar 18,230
273,Mar 17,181
274,Mar 16,152
275,Mar 15,122
276,Mar 14,98
277,Mar 13,81
278,Mar 12,78
279,Mar 11,55
280,Mar 10,45
281,Mar 9,36
282,Mar 8,29
283,Mar 7,23
284,Mar 6,20
285,Mar 5,17
286,Mar 4,15
287,Mar 3,12
288,Mar 2,10
289,Mar 1,10
290,Feb 29,8
291,Feb 28,7
292,Feb 27,6
