,player name,Goals scored
0,Alexander Kerzhakov,31
1,Vladimir Beschastnykh,26
2,Artem Dzyuba,24
3,Roman Pavlyuchenko,21
4,Valery Karpin,17
5,Andrei Arshavin,15
6,Fedor Smolov,14
7,Dmitry Sychev,14
8,Aleksandr Kokorin,12
9,Igor Kolyvanov,12
10,Denis Cheryshev,11
11,Sergei Kiryakov,10
12,Alan Dzagoev,10
13,Alexandr Mostovoi,10
14,Igor Simutenkov,9
15,Dmitri Radchenko,9
16,Roman Shirokov,8
17,Sergei Ignashevich,8
18,Pavel Pogrebnyak,8
19,Dmitri Khokhlov,7
20,Yegor Titov,7
21,Konstantin Zyryonov,7
22,Viktor Onopko,7
