,business,Revenue in million U.S. dollars
0,Pfizer Established Pharma,21587
1,Teva Generics (including Allergan Gx),9546
2,Mylan,9429
3,Sandoz / Novartis,9310
4,CR Pharmaceutical,7410
5,Yangtze River Pharma,7190
6,EMS,4200
7,Sun Pharma,4021
8,Abbott Established Pharma,3720
9,HuadongMedicine,3295
10,GPC,3031
11,Fresenius - Kabi Generic Drugs,2669
12,Harbin Pharma,2662
13,Stada,2496
14,Endo Generics,2436
15,Dr. Reddy's,2368
16,Aspen Pharmacare,2236
17,Hikma,2058
18,Sinopharm - Rx Segment,2044
19,Cipla,2018
