,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",4541.8
1,Professional and business services,2710.7
2,Government,2639.5
3,Manufacturing,2345.8
4,"Educational services, health care, and social assistance",1865.4
5,Wholesale trade,1262.3
6,Retail trade,1162.2
7,Information,1127.5
8,"Arts, entertainment, recreation, accommodation, and food services",907.2
9,Construction,892.7
10,Transportation and warehousing,696.7
11,"Other services, except government",461.3
12,Mining,309.5
13,Utilities,335.3
14,"Agriculture, forestry, fishing, and hunting",175.4
