,Year,Gross domestic product in billion U.S. dollars
0,2024*,19.5
1,2023*,18.62
2,2022*,17.81
3,2021*,17.08
4,2020*,16.47
5,2019*,15.7
6,2018,15.46
7,2017,14.77
8,2016,14.11
9,2015,14.15
10,2014,13.86
11,2013,14.21
12,2012,14.77
13,2011,14.41
14,2010,13.19
15,2009,12.11
16,2008,13.74
17,2007,12.88
18,2006,11.95
19,2005,11.23
20,2004,10.18
21,2003,9.43
22,2002,9.72
23,2001,9.2
24,2000,9.07
25,1999,8.89
26,1998,8.79
27,1997,8.4
28,1996,7.39
29,1995,6.54
30,1994,5.53
31,1993,5.52
32,1992,4.33
33,1991,4.29
34,1990,4.66
35,1989,3.69
36,1988,3.18
37,1987,2.67
38,1986,2.37
39,1985,1.99
40,1984,2.12
