,business school,Salary in thousand U.S. dollars
0,"Stanford - Palo Alto, CA",255
1,"Harvard - Boston, MA",239
2,"Northwestern (Kellogg) - Evanston, IL",188
3,"Columbia - New York, NY",208
4,"Dartmouth (Tuck) - Hanover, NH",190
5,"Chicago (Booth) - Chicago, IL",200
6,"Pennsylvania (Wharton) - Philadelphia, PA",207
7,"UC Berkeley (Haas) - Berkeley, CA",180
8,"MIT (Sloan) - Cambridge, MA",200
9,"Cornell (Johnson) - Ithaca, NY",150
10,"Yale - New Haven, CT",188
11,"Duke (Fuqua) - Durham, NC",160
12,"UNC (Kenan-Flagler) - Chapel Hill, NC",145
13,"Texas-Austin (McCombs) - Austin, TX",152
14,"Michigan (Ross) - Ann Arbor, MI",168
15,"Virginia (Darden) - Charlottesville, VA",170
16,"UCLA (Anderson) - Los Angeles, CA",160
17,"NYU (Stern) - New York, NY",164
18,"Carnegie Mellon (Tepper) - Pittsburgh, PA",151
19,"Indiana (Kelley) - Bloomington, IN",130
