,Year,Gross domestic product in billion U.S. dollars
0,2024*,15.81
1,2023*,14.42
2,2022*,13.16
3,2021*,12.03
4,2020*,11.06
5,2019*,10.21
6,2018,9.51
7,2017,9.14
8,2016,8.48
9,2015,8.29
10,2014,8.01
11,2013,7.62
12,2012,7.32
13,2011,6.49
14,2010,5.77
15,2009,5.38
16,2008,4.86
17,2007,3.82
18,2006,3.15
19,2005,2.59
20,2004,2.1
21,2003,1.85
22,2002,1.67
23,2001,1.68
24,2000,1.72
25,1999,1.8
26,1998,1.93
27,1997,1.81
28,1996,1.34
29,1995,1.24
30,1994,1.2
31,1993,1.88
32,1992,1.95
33,1991,1.84
34,1990,2.49
35,1989,2.61
36,1988,2.5
37,1987,2.33
38,1986,2.1
39,1985,1.85
40,1984,1.56
