,Response,Share of respondents
0,Send a message on Facebook Messenger,51%
1,Browse your feed for posts from your Facebook friends or accounts you follow,45%
2,"Post a photo, written status update or video to your feed",37%
3,Watch a video in your feed,37%
4,Visit/use a Facebook group you are part of,34%
5,Watch other people's Facebook Stories,34%
6,Click or tap on an ad on Facebook,24%
7,Watch a video on Facebook Watch,23%
8,Shop or buy things from Facebook Marketplace,16%
9,Post to my Facebook Story,15%
10,Swipe up on a Facebook Story,14%
11,Make a purchase after clicking or tapping on a Facebook ad,13%
12,None of these,17%
