,Year,GDP per capita in U.S. dollars
0,2024*,2259.78
1,2023*,2113.67
2,2022*,1975.82
3,2021*,1848.25
4,2020*,1730.88
5,2019*,1620.64
6,2018*,1504.26
7,2017*,1385.93
8,2016*,1270.98
9,2015*,1165.06
10,2014*,1093.8
11,2013,1009.34
12,2012,945.7
13,2011,877.64
14,2010,781.91
15,2009,734.66
16,2008,741.86
17,2007,627.78
18,2006,536.15
19,2005,470.68
20,2004,405.63
21,2003,360.66
22,2002,337.5
23,2001,320.05
24,2000,299.98
25,1999,293.7
26,1998,267.86
27,1997,302.17
28,1996,316.19
29,1995,319.54
30,1994,265.06
