,Month,Occupancy rate
0,Jun 20,21%
1,May 20,20%
2,Apr 20,20%
3,Mar 20,36%
4,Feb 20,69%
5,Jan 20,63%
6,Dec 19,68%
7,Nov 19,76%
8,Oct 19,80%
9,Sep 19,82%
10,Aug 19,82%
11,Jul 19,84%
12,Jun 19,80%
13,May 19,78%
14,Apr 19,75%
15,Mar 19,73%
16,Feb 19,70%
17,Jan 19,63%
18,Dec 18,69%
19,Nov 18,76%
20,Oct 18,81%
21,Sep 18,83%
22,Aug 18,83%
23,Jul 18,85%
24,Jun 18,82%
25,May 18,78%
26,Apr 18,75%
27,Mar 18,73%
28,Feb 18,71%
29,Jan 18,63%
30,Dec 17,68%
31,Nov 17,75%
32,Oct 17,78%
33,Sep 17,83%
34,Aug 17,81%
35,Jul 17,83%
36,Jun 17,80%
