,Project,Average cost in U.S. dollars
0,Master suite (upscale),224989
1,Two-story addition,155365
2,Major kitchen remodel (upscale),109935
3,Master suite (mid-range),103844
4,Garage addition (upscale),82311
5,Family room,80765
6,Sunroom,73546
7,Bathroom addition (upscale),72538
8,Basement remodel,62834
9,Major kitchen remodel (mid-range),54909
10,Bathroom remodel (upscale),51374
11,Garage addition (mid-range),49911
12,Attic bedroom,49438
13,Bathroom addition (mid-range),38186
14,Roofing replacement (upscale),34495
15,Home office remodel,28000
16,Roofing replacement (mid-range),18913
17,Minor kitchen remodel,18856
18,Bathroom remodel (mid-range),16128
19,Back-up power generator,11742
