,Month,Number of patients
0,December 4,449
1,December 3,533
2,December 2,500
3,December 1,372
4,November 30,311
5,November 29,418
6,November 28,561
7,November 27,570
8,November 26,481
9,November 25,401
10,November 24,186
11,November 23,314
12,November 22,391
13,November 21,539
14,November 20,522
15,November 19,533
16,November 18,485
17,November 17,298
18,November 16,180
19,November 15,255
20,November 14,352
21,November 13,374
22,November 12,393
23,November 11,317
24,November 10,293
25,November 9,157
26,November 8,189
27,November 7,294
28,November 6,242
29,November 5,269
30,November 4,122
31,November 3,209
32,November 2,87
33,November 1,116
34,October 31,215
35,October 30,204
36,October 29,221
37,October 28,171
38,October 27,158
39,October 26,102
40,October 25,124
41,October 24,203
42,October 23,186
43,October 22,185
44,October 21,150
45,October 20,139
46,October 19,78
47,October 18,132
48,October 17,235
49,October 16,184
50,October 15,284
51,October 14,177
52,October 13,166
53,October 12,78
54,October 11,146
55,October 10,248
56,October 9,203
57,October 8,248
58,October 7,142
59,October 6,177
60,October 5,66
61,October 4,108
62,October 3,207
63,October 2,196
64,October 1,235
65,September 30,194
66,September 29,212
67,September 28,78
68,September 27,144
69,September 26,269
70,September 25,195
71,September 24,195
72,September 23,59
73,September 22,88
74,September 21,98
75,September 20,162
76,September 19,218
77,September 18,220
78,September 17,171
79,September 16,163
80,September 15,191
81,September 14,80
82,September 13,146
83,September 12,226
84,September 11,187
85,September 10,276
86,September 9,149
87,September 8,170
88,September 7,77
89,September 6,116
90,September 5,181
91,September 4,136
92,September 3,211
93,September 2,141
94,September 1,170
95,August 31,100
96,August 30,148
97,August 29,247
98,August 28,226
99,August 27,250
100,August 26,236
101,August 25,182
102,August 24,95
103,August 23,212
104,August 22,256
105,August 21,258
106,August 20,339
107,August 19,186
108,August 18,207
109,August 17,161
110,August 16,260
111,August 15,385
112,August 14,389
113,August 13,206
114,August 12,222
115,August 11,188
116,August 10,197
117,August 9,331
118,August 8,429
119,August 7,462
120,August 6,360
121,August 5,263
122,August 4,309
123,August 3,258
124,August 2,292
125,August 1,472
126,July 31,463
127,July 30,367
128,July 29,250
129,July 28,266
130,July 27,131
131,July 26,239
132,July 25,295
133,July 24,260
134,July 23,366
135,July 22,238
136,July 21,237
137,July 20,168
138,July 19,188
139,July 18,290
140,July 17,293
141,July 16,286
142,July 15,165
143,July 14,143
144,July 13,119
145,July 12,206
146,July 11,206
147,July 10,243
148,July 9,224
149,July 8,75
150,July 7,106
151,July 6,102
152,July 5,111
153,July 4,131
154,July 3,124
155,July 2,107
156,July 1,67
157,June 30,54
158,June 29,58
159,June 28,60
160,June 27,57
161,June 26,54
162,June 25,48
163,June 24,55
164,June 23,31
165,June 22,29
166,June 21,35
167,June 20,39
168,June 19,35
169,June 18,41
170,June 17,16
171,June 16,27
172,June 15,48
173,June 14,47
174,June 13,24
175,June 12,25
176,June 11,22
177,June 10,18
178,June 9,12
179,June 8,13
180,June 7,14
181,June 6,26
182,June 5,20
183,June 4,28
184,June 3,12
185,June 2,34
186,June 1,13
187,May 31,5
188,May 30,14
189,May 29,22
190,May 28,15
191,May 27,11
192,May 26,10
193,May 25,8
194,May 24,14
195,May 23,2
196,May 22,3
197,May 21,11
198,May 20,5
199,May 19,5
200,May 18,10
201,May 17,2
202,May 16,7
203,May 15,10
204,May 14,30
205,May 13,10
206,May 12,28
207,May 11,15
208,May 10,22
209,May 9,36
210,May 8,39
211,May 7,23
212,May 6,38
213,May 5,58
214,May 4,87
215,May 3,91
216,May 2,158
217,May 1,165
218,April 30,46
219,April 29,47
220,April 28,112
221,April 27,39
222,April 26,72
223,April 25,103
224,April 24,161
225,April 23,134
226,April 22,132
227,April 21,123
228,April 20,102
229,April 19,107
230,April 18,181
231,April 17,201
232,April 16,148
233,April 15,126
234,April 14,161
235,April 13,91
236,April 12,166
237,April 11,197
238,April 10,188
239,April 9,178
240,April 8,144
241,April 7,79
242,April 6,83
243,April 5,143
244,April 4,116
245,April 3,89
246,April 2,97
247,April 1,66
248,March 31,78
249,March 30,13
250,March 29,68
251,March 28,63
252,March 27,40
253,March 26,47
254,March 25,41
255,March 24,17
256,March 23,16
257,March 22,2
258,March 21,7
259,March 20,11
260,March 19,7
261,March 18,9
262,March 17,12
263,March 15,3
264,March 14,10
265,March 13,2
266,March 12,2
267,March 11,6
268,March 10,3
269,March 7,6
270,March 6,6
271,March 5,8
272,March 4,4
273,March 3,1
274,March 1,2
275,February 29,1
276,February 27,1
277,February 26,3
278,February 24,3
279,February 22,1
280,February 21,3
281,February 19,3
282,February 18,3
283,February 16,5
284,February 15,8
285,February 14,2
286,February 13,1
287,January 30,1
288,January 25,1
289,January 24,1
