,Year,Cumulative number of cases
0,1/4/2021,611424
1,1/3/2021,601663
2,1/2/2021,595085
3,1/1/2021,588277
4,12/31/2020,581402
5,12/30/2020,572982
6,12/29/2020,565506
7,12/28/2020,559064
8,12/27/2020,553274
9,12/26/2020,547371
10,12/25/2020,539242
11,12/24/2020,535150
12,12/23/2020,528354
13,12/22/2020,521509
14,12/21/2020,515314
15,12/20/2020,508933
16,12/19/2020,502244
17,12/18/2020,495345
18,12/17/2020,488638
19,12/16/2020,481630
20,12/15/2020,475214
21,12/14/2020,468862
22,12/13/2020,462131
23,12/12/2020,455551
24,12/11/2020,448841
25,12/10/2020,442069
26,12/9/2020,435330
27,12/8/2020,429035
28,12/7/2020,423054
29,12/6/2020,416555
30,12/5/2020,409568
31,12/4/2020,402569
32,12/3/2020,396269
33,12/2/2020,389775
34,12/1/2020,383468
35,11/30/2020,378139
36,11/29/2020,372036
37,11/28/2020,365560
38,11/27/2020,359064
39,11/26/2020,353097
40,11/25/2020,347466
41,11/24/2020,342444
42,11/23/2020,337555
43,11/22/2020,331842
44,11/21/2020,326424
45,11/20/2020,320719
46,11/19/2020,315751
47,11/18/2020,311109
48,11/17/2020,306468
49,11/16/2020,302192
50,11/15/2020,297390
51,11/14/2020,292585
52,11/13/2020,287318
53,11/12/2020,282577
54,11/11/2020,277596
55,11/10/2020,273037
56,11/9/2020,268735
57,11/8/2020,264649
58,11/7/2020,260055
59,11/6/2020,255809
60,11/5/2020,252140
61,11/4/2020,248218
62,11/3/2020,244935
63,11/2/2020,241961
64,11/1/2020,238688
65,10/31/2020,235444
66,10/30/2020,231999
67,10/29/2020,228542
68,10/28/2020,225586
69,10/27/2020,222887
70,10/26/2020,220213
71,10/25/2020,216104
72,10/24/2020,213959
73,10/23/2020,211732
74,10/22/2020,209148
75,10/21/2020,206360
76,10/20/2020,203688
77,10/19/2020,201437
78,10/18/2020,198148
79,10/17/2020,196321
80,10/16/2020,194106
81,10/15/2020,191730
82,10/14/2020,189385
83,10/13/2020,186881
84,10/12/2020,182839
85,10/11/2020,181864
86,10/10/2020,180179
87,10/9/2020,178117
88,10/8/2020,175559
89,10/7/2020,173123
90,10/6/2020,171323
91,10/5/2020,168960
92,10/4/2020,166156
93,10/3/2020,164471
94,10/2/2020,162659
95,10/1/2020,160535
96,9/30/2020,158758
97,9/29/2020,156961
98,9/28/2020,155301
99,9/27/2020,153125
100,9/26/2020,151671
101,9/25/2020,150456
102,9/24/2020,149094
103,9/23/2020,147753
104,9/22/2020,146663
105,9/21/2020,145415
106,9/20/2020,143649
107,9/19/2020,142774
108,9/18/2020,141911
109,9/17/2020,140867
110,9/16/2020,139747
111,9/15/2020,138803
112,9/14/2020,138010
113,9/13/2020,136659
114,9/12/2020,136141
115,9/11/2020,135626
116,9/10/2020,134924
117,9/9/2020,134294
118,9/8/2020,133748
119,9/7/2020,132142
120,9/6/2020,131895
121,9/5/2020,131495
122,9/4/2020,131124
123,9/3/2020,130493
124,9/2/2020,129923
125,9/1/2020,129425
126,8/31/2020,128948
127,8/30/2020,127940
128,8/29/2020,127673
129,8/28/2020,127310
130,8/27/2020,126848
131,8/26/2020,126417
132,8/25/2020,125969
133,8/24/2020,125647
134,8/23/2020,124896
135,8/22/2020,124629
136,8/21/2020,124372
137,8/20/2020,123873
138,8/19/2020,123490
139,8/18/2020,123154
140,8/17/2020,122872
141,8/16/2020,122087
142,8/15/2020,121889
143,8/14/2020,121652
144,8/13/2020,121234
145,8/12/2020,120829
146,8/11/2020,120406
147,8/10/2020,120117
148,8/9/2020,119436
149,8/8/2020,119206
150,8/7/2020,118970
151,8/6/2020,118546
152,8/5/2020,118172
153,8/4/2020,117777
154,8/3/2020,117017
155,8/2/2020,116870
156,8/1/2020,116585
157,7/31/2020,116298
158,7/30/2020,115785
159,7/29/2020,115392
160,7/28/2020,114980
161,7/27/2020,114584
162,7/26/2020,113898
163,7/25/2020,113543
164,7/24/2020,113193
165,7/23/2020,112659
166,7/22/2020,112227
167,7/21/2020,111684
168,7/20/2020,111113
169,7/19/2020,110327
170,7/18/2020,109988
171,7/17/2020,109658
172,7/16/2020,109253
173,7/15/2020,108816
174,7/14/2020,108475
175,7/13/2020,108144
176,7/12/2020,107579
177,7/11/2020,107335
178,7/10/2020,107114
179,7/9/2020,106793
180,7/8/2020,106422
181,7/7/2020,106155
182,7/6/2020,105923
183,7/5/2020,105524
184,7/4/2020,105305
185,7/3/2020,105079
186,7/2/2020,104760
187,7/1/2020,104193
188,6/30/2020,104193
189,6/29/2020,103907
190,6/28/2020,103239
191,6/27/2020,103021
192,6/26/2020,102783
193,6/25/2020,102611
194,6/24/2020,102231
195,6/23/2020,101952
196,6/22/2020,101626
197,6/21/2020,101326
198,6/20/2020,101008
199,6/19/2020,100618
200,6/18/2020,100209
201,6/17/2020,99842
202,6/16/2020,99456
203,6/15/2020,99136
204,6/14/2020,98776
205,6/13/2020,98399
206,6/12/2020,97932
207,6/11/2020,97519
208,6/10/2020,97114
209,6/9/2020,96642
210,6/8/2020,96233
211,6/7/2020,95688
212,6/6/2020,95046
213,6/5/2020,94324
214,6/4/2020,93715
215,6/3/2020,93074
216,6/2/2020,92399
217,6/1/2020,91694
218,5/31/2020,90936
219,5/30/2020,90179
220,5/29/2020,89407
221,5/28/2020,88501
222,5/27/2020,87508
223,5/26/2020,86636
224,5/25/2020,85700
225,5/24/2020,84688
226,5/23/2020,83610
227,5/22/2020,82469
228,5/21/2020,81313
229,5/20/2020,80112
230,5/19/2020,79101
231,5/18/2020,78061
232,5/17/2020,76991
233,5/16/2020,75853
234,5/15/2020,74602
235,5/14/2020,73477
236,5/13/2020,72267
237,5/12/2020,71146
238,5/11/2020,69970
239,5/10/2020,68837
240,5/9/2020,67691
241,5/8/2020,66423
242,5/7/2020,64911
243,5/6/2020,63485
244,5/5/2020,62035
245,5/4/2020,60761
246,5/3/2020,59463
247,5/2/2020,56703
248,5/1/2020,55050
249,4/30/2020,53225
250,4/29/2020,51587
251,4/28/2020,50015
252,4/27/2020,48489
253,4/26/2020,46884
254,4/25/2020,45341
255,4/24/2020,43877
256,4/23/2020,42099
257,4/22/2020,40179
258,4/21/2020,38413
259,4/20/2020,36823
260,4/19/2020,34777
261,4/18/2020,33341
262,4/17/2020,31872
263,4/16/2020,30081
264,4/15/2020,28364
265,4/14/2020,27046
266,4/13/2020,25663
267,4/12/2020,24365
268,4/11/2020,23301
269,4/10/2020,22133
270,4/9/2020,20748
271,4/8/2020,19274
272,4/7/2020,17883
273,4/6/2020,16653
274,4/5/2020,15496
275,4/4/2020,13882
276,4/3/2020,12519
277,4/2/2020,11268
278,4/1/2020,9595
279,3/31/2020,8536
280,3/30/2020,7424
281,3/29/2020,6255
282,3/28/2020,5386
283,3/27/2020,4675
284,3/26/2020,4018
285,3/25/2020,3385
286,3/24/2020,1959
287,3/23/2020,1646
288,3/22/2020,1430
289,3/21/2020,1302
290,3/20/2020,971
291,3/19/2020,846
292,3/18/2020,569
293,3/17/2020,424
294,3/16/2020,324
295,3/15/2020,249
296,3/14/2020,193
