,human,Donations in million U.S. dollars
0,Stewart Resnick and Lynda Resnick,772.0
1,T. Denny Sanford,453.5
2,Ernest Rady and Evelyn Rady,220.0
3,Phillip (Terry) Ragon and Susan Ragon,200.0
4,Stephen Schwarzman,188.0
5,Kenneth Griffin,157.5
6,Karen H. Huntsman,150.0
7,Jaffray Woodriff and Merrill Woodriff,133.5
8,Eli Broad and Edythe Broad,131.0
9,Sanford Weill and Joan Weill,125.6
10,Orlando Bravo,125.0
11,Jane Zimmerman Walentas and David Walentas,105.0
12,David Rockefeller,103.0
13,Henry Samueli and Susan Samueli,100.0
14,James Simons,100.0
15,David Goel and Stacey Goel,100.0
16,Raymond Dalio and Barbara Dalio,100.0
17,Allan Herbert and Patti Herbert,89.0
18,Jayne Wrightsman,80.0
19,Richard Lundquist and Melanie Lundquist,76.0
20,William Swindells Jr. and Ann Johnson Swindells,75.0
21,Robert Challey and Sheila Challey,75.0
22,Philip Knight and Penelope Knight,75.0
23,David B. Miller and Carolyn L. Miller,72.5
24,Sidney Kimmel and Caroline Kimmel,70.0
25,Frank Sands,68.0
26,Fred Luddy,60.0
27,Ronda E. Stryker and William D. Johnston,57.7
28,Allison Rouse and Dorothy Rouse,52.0
29,Mike Garvey and Lynn Garvey,50.0
30,Rick Caruso and Tina Caruso,50.0
31,James Herscot and Carol Herscot,50.0
32,J. Orin Edson and Charlene Edson,50.0
33,Arthur M. Blank,50.0
34,Jeff Ubben and Laurie Ubben,50.0
35,Roy Vagelos and Diana Vagelos,50.0
