,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,4.85%
2,2022*,4.66%
3,2021*,4.48%
4,2020*,4.19%
5,2019*,3.57%
6,2018,3.51%
7,2017,5.32%
8,2016,5.17%
9,2015,5.59%
10,2014,6.13%
11,2013,7.87%
12,2012,16%
13,2011,12.69%
14,2010,7.19%
15,2009,12.14%
16,2008,10.28%
17,2007,7.03%
18,2006,7.25%
19,2005,4.36%
20,2004,4.14%
21,2003,4.43%
22,2002,4.56%
23,2001,5.15%
24,2000,5.96%
25,1999,7.89%
26,1998,12.78%
27,1997,16.14%
28,1996,21.05%
29,1995,26.77%
30,1994,37.9%
31,1993,26.1%
32,1992,20.7%
33,1991,25.2%
34,1990,36.4%
35,1989,25.8%
36,1988,31.2%
37,1987,29.9%
38,1986,32.4%
39,1985,33.3%
40,1984,36.1%
