,Year,GDP in billion U.S. dollars
0,2024*,1940.44
1,2023*,1858.61
2,2022*,1782.06
3,2021*,1714.31
4,2020*,1657.54
5,2019*,1637.89
6,2018,1657.29
7,2017,1579.29
8,2016,1280.52
9,2015,1356.84
10,2014,2058.31
11,2013,2289.24
12,2012,2202.67
13,2011,2044.62
14,2010,1632.84
15,2009,1309.17
16,2008,1778.39
17,2007,1391.68
18,2006,1059.99
19,2005,817.75
20,2004,632.77
21,2003,460.75
22,2002,369.94
23,2001,328.28
24,2000,278.08
25,1999,209.77
26,1998,290.23
27,1997,433.62
28,1996,419.52
29,1995,335.66
30,1994,296.47
