,Year,Gross domestic product in billion U.S. dollars
0,2021*,59.68
1,2020*,62.92
2,2019*,70.14
3,2018,98.44
4,2017,143.84
5,2016,279.25
6,2015,323.6
7,2014,212.35
8,2013,234.4
9,2012,331.46
10,2011,334.07
11,2010,294.28
12,2009,237.29
13,2008,289.74
14,2007,221.82
15,2006,177.53
16,2005,143.29
17,2004,112.19
18,2003,83.67
19,2002,95.57
20,2001,123.16
21,2000,117.68
22,1999,97.24
23,1998,91.91
24,1997,85.67
25,1996,70.54
26,1995,77.43
27,1994,58.36
28,1993,59.87
29,1992,60.4
30,1991,53.38
31,1990,48.39
32,1989,44.67
33,1988,60.38
34,1987,46.85
35,1986,60.88
36,1985,59.87
37,1984,57.83
