,Metropolitan statistical area,"Burglary cases per 100,000 inhabitants"
0,"Lake Charles, LA",1117.7
1,"Alexandria, LA",1106.4
2,"Jonesboro, AR",1058.2
3,"Florence, SC",948.8
4,"Monroe, LA",948.0
5,"Bakersfield, CA",847.3
6,"Vallejo, CA",833.7
7,"Lubbock, TX",813.9
8,"Lawton, OK",806.7
9,"Danville, IL",793.4
10,"Sumter, SC",780.7
11,"Memphis, TN-MS-AR",769.0
12,"Tulsa, OK",737.0
13,"Goldsboro, NC",719.8
14,"Albany, GA",719.6
15,"Macon-Bibb County, GA",717.7
16,"New Bern, NC",705.5
17,"Oklahoma City, OK",678.7
18,"Enid, OK",676.3
19,"Springfield, IL",655.2
20,"Springfield, OH",650.6
21,"Pueblo, CO",641.7
22,"Asheville, NC",624.8
23,"Amarillo, TX",620.2
24,"Lafayette, LA",619.4
25,"Springfield, MO",614.2
26,"Spartanburg, SC",610.5
27,"Shreveport-Bossier City, LA",608.3
28,"Fort Smith, AR-OK",603.3
29,"Anchorage, AK",600.1
30,"Burlington, NC",590.0
31,"Panama City, FL",589.6
32,"Kalamazoo-Portage, MI",586.4
33,"Greensboro-High Point, NC",578.8
34,"Joplin, MO",574.0
35,"Las Vegas-Henderson-Paradise, NV",572.8
36,"Sioux City, IA-NE-SD",569.7
37,"Corpus Christi, TX",569.1
38,"Tallahassee, FL",560.3
39,"Texarkana, TX-AR",558.8
40,"Lake Havasu City-Kingman, AZ",555.4
41,"Gulfport-Biloxi, MS",550.8
42,"Baton Rouge, LA",547.0
43,"Lima, OH",546.9
44,"Vineland-Bridgeton, NJ",545.5
45,"Spokane-Spokane Valley, WA",543.9
46,"St. Joseph, MO-KS",542.6
47,"Columbia, SC",532.4
48,"Victoria, TX",530.6
49,"Fairbanks, AK",529.7
