,Month,Consumer price index (2015=100)
0,Nov 2020*,117.09
1,Oct 2020,117.13
2,Sep 2020,116.31
3,Aug 2020,116.3
4,Jul 2020,116.28
5,Jun 2020,115.55
6,May 2020,115.08
7,Apr 2020,114.92
8,Mar 2020,114.95
9,Feb 2020,115.02
10,Jan 2020,114.69
11,Dec 2019,114.23
12,Nov 2019,114.12
13,Oct 2019,113.99
14,Sep 2019,113.97
15,Aug 2019,113.76
16,Jul 2019,113.69
17,Jun 2019,113.04
18,May 2019,112.42
19,Apr 2019,112.45
20,Mar 2019,112.48
21,Feb 2019,112.18
22,Jan 2019,111.58
23,Dec 2018,109.44
24,Nov 2018,109.1
25,Oct 2018,108.93
26,Sep 2018,108.53
27,Aug 2018,108.77
28,Jul 2018,108.62
29,Jun 2018,107.9
30,May 2018,107.74
31,Apr 2018,107.52
32,Mar 2018,107.08
33,Feb 2018,106.88
34,Jan 2018,106.8
