,Month,Units sold
0,Dec 19,1702
1,Nov 19,1186
2,Oct 19,835
3,Sep 19,1363
4,Aug 19,663
5,Jul 19,1040
6,Jun 19,1078
7,May 19,1212
8,Apr 19,980
9,Mar 19,1814
10,Feb 19,448
11,Jan 19,754
12,Dec 18,650
13,Nov 18,921
14,Oct 18,783
15,Sep 18,1010
16,Aug 18,586
17,Jul 18,813
18,Jun 18,871
19,May 18,811
20,Apr 18,829
21,Mar 18,1114
22,Feb 18,186
23,Jan 18,475
24,Dec 17,454
25,Nov 17,472
26,Oct 17,194
27,Sep 17,842
28,Aug 17,181
29,Jul 17,305
30,Jun 17,314
31,May 17,395
32,Apr 17,219
33,Mar 17,749
34,Feb 17,111
35,Jan 17,205
36,Dec 16,367
37,Nov 16,263
38,Oct 16,257
39,Sep 16,1005
40,Aug 16,99
41,Jul 16,305
42,Jun 16,336
43,May 16,296
44,Apr 16,272
45,Mar 16,576
46,Feb 16,103
47,Jan 16,313
48,Dec 15,283
49,Nov 15,249
50,Oct 15,159
51,Sep 15,511
52,Aug 15,43
53,Jul 15,237
54,Jun 15,234
55,May 15,269
56,Apr 15,308
57,Mar 15,661
58,Feb 15,63
59,Jan 15,135
60,Dec 14,128
61,Nov 14,170
62,Oct 14,188
63,Sep 14,357
64,Aug 14,76
65,Jul 14,203
66,Jun 14,196
67,May 14,241
68,Apr 14,221
69,Mar 14,361
70,Feb 14,47
71,Jan 14,138
