,Countries,Price level index (U.S. = 100)
0,Switzerland,127.7
1,Denmark,120.3
2,Norway,112.2
3,Finland,110.8
4,Australia,108.8
5,New Zealand,104.9
6,Sweden,103.4
7,Austria,101.9
8,United States,100.0
9,Belgium,99.9
10,Ireland,99.7
11,United Kingdom,97.2
12,Netherlands,97.1
13,France,96.6
14,Germany,94.7
15,Canada,93.8
16,Japan,89.8
17,Italy,89.2
18,Spain,78.8
19,Argentina,78.6
20,South Korea,77.2
21,Hong Kong,75.5
22,Portugal,74.7
23,Greece,72.3
24,Singapore,64.8
25,Czech Republic Emirates,63.6
26,United Arab,58.7
27,Brazil,58.2
28,China,55.5
29,Poland,50.3
30,South Africa,49.5
31,Mexico,48.2
32,Saudi Arabia,42.1
33,Turkey,39.3
34,Russia,38.8
35,Bangladesh,37.7
36,Malaysia,36.6
37,Philippines,35.0
38,Nigeria,30.7
39,Indonesia,30.5
40,India,27.1
41,Egypt,19.3
