,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Mining, quarrying, and oil and gas extraction",8.51
1,"Finance, insurance, real estate, rental, and leasing",7.86
2,Government and government enterprises,5.51
3,"Educational services, health care, and social assistance",4.4
4,Wholesale trade,4.07
5,"Agriculture, forestry, fishing, and hunting",4.07
6,Manufacturing,3.75
7,Professional and business services,3.01
8,Retail trade,2.91
9,Construction,2.52
10,Transportation and warehousing,2.43
11,Information,1.58
12,"Arts, entertainment, recreation, accommodation, and food services",1.29
13,Utilities,1.26
