,Country,Turnover in million euros
0,Macedonia,63.5
1,Bosnia and Herzegovina **,87.4
2,Latvia,182.9
3,Lithuania,188.2
4,Estonia,263.5
5,Luxembourg,287.1
6,Slovakia,385.1
7,Malta **,485.4
8,Slovenia,531.2
9,Iceland,557.6
10,Bulgaria,908.4
11,Cyprus,991.5
12,Hungary,999.0
13,Romania,1009.5
14,Finland,1294.0
15,Czech Republic,1526.8
16,Croatia,1622.6
17,Denmark,1989.1
18,Poland,2241.4
19,Belgium,2381.5
20,Norway,2789.9
21,Ireland,3023.7
22,Portugal,3271.6
23,Sweden,4440.0
24,Greece,4593.5
25,Netherlands,4838.8
26,Switzerland,6581.5
27,Austria,8758.7
28,Italy,18819.2
29,France,19339.7
30,Spain,20012.0
31,United Kingdom ***,21857.2
32,Germany,26621.3
