,Response,Share of respondents
0,Operating costs,49%
1,Security,40%
2,Convenience for users,37%
3,Protection against payment defaults,37%
4,Acceptance/widely known in German-speaking countries,35%
5,Reliability,25%
6,No delays or disruptions in payment process,13%
7,Globally used method,11%
8,Simple reverse transactions in the case of returns,10%
9,Low integration cost,9%
10,Method widely used in Europe,8%
11,Mobile usability,7%
12,Low occurence of returns,6%
13,Control over customer data,5%
14,Other,1%
