,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,2.08%
4,2020*,2.28%
5,2019*,2.09%
6,2018,1.99%
7,2017,0.11%
8,2016,-3.08%
9,2015,-0.98%
10,2014,3.52%
11,2013,1.47%
12,2012,4.18%
13,2011,2.77%
14,2010,3.25%
15,2009,-0.16%
16,2008,5.55%
17,2007,2.82%
18,2006,3.56%
19,2005,3.91%
20,2004,1.46%
21,2003,1.03%
22,2002,-0.26%
23,2001,5.27%
24,2000,4.85%
25,1999,2.42%
26,1998,3.2%
27,1997,-0.01%
28,1996,0.93%
29,1995,5.86%
30,1994,2.66%
31,1993,0.78%
32,1992,5.66%
33,1991,5.54%
34,1990,4.33%
35,1989,4.4%
36,1988,0.83%
37,1987,7.04%
38,1986,2.17%
39,1985,0.5%
40,1984,2.05%
