,allied health profession,Wage in U.S. dollars
0,Office and Administrative Support Occupations,41040
1,Sales and Related Occupations,43060
2,Food Preparation and Serving Related Occupations,26670
3,Transportation and Material Moving Occupations,37920
4,Production Occupations,40140
5,Educational Instruction and Library Occupations,57710
6,Healthcare Practitioners and Technical Occupations,83640
7,Retail Sales Workers,27600
8,Business and Financial Operations Occupations,78130
9,Management Occupations,122480
10,Food and Beverage Serving Workers,24990
11,Material Moving Workers,31790
12,Healthcare Support Occupations,31010
13,Construction and Extraction Occupations,52580
14,Laborers and Material Movers,30570
15,Information and Record Clerks,36580
16,"Installation, Maintenance, and Repair Occupations",50130
17,Healthcare Diagnosing or Testing Practitioners,102470
18,Business Operations Specialists,75530
19,"Home Health and Personal Care Aides, Nursing Assistants, Orderlies, and Psychiatric Aides",27860
