,Country,"Surgeries per 100,000 population"
0,Germany,309
1,Switzerland,307
2,Austria,286
3,Belgium,274
4,Finland,271
5,Norway,252
6,France,248
7,Denmark,248
8,Sweden,240
9,Netherlands,238
10,Iceland,224
11,Slovenia,200
12,Australia,195
13,Luxembourg,194
14,Lithuania,194
15,Czech Republic,189
16,Italy,183
17,OECD32,182
18,United Kingdom,181
19,Poland,160
20,Canada,159
21,New Zealand,158
22,Latvia,157
23,Estonia,156
24,Hungary,139
25,Slovak Republic,136
26,Ireland,130
27,Spain,116
28,Portugal,91
29,Israel,67
30,Korea,56
31,Chile,46
32,Mexico,9
