,Response,Share of respondents
0,Football (include five-a-side),44.7%
1,"Swimming, diving or lifesaving",30%
2,Walking or hiking,26.4%
3,"Gym, gymnastics, trampolining or climbing frame",24.4%
4,Cycling or riding a bike,22.6%
5,"Athletics, track and field events, running races or jumping",21.9%
6,Basketball,20.9%
7,Dodgeball,20.5%
8,Netball,19.3%
9,Rounders,18.9%
10,Badminton,17.9%
11,"Cross country, jogging or road running",17.5%
12,Rugby,14.6%
13,Table tennis,14.4%
14,Cricket,12.6%
15,Tennis,12.5%
16,Hockey,9.8%
17,"Aerobics, keep fit",7.7%
18,Snooker,7.4%
19,"Martial arts - Judo, Karate, Taekwando and other Martial Arts",7.3%
20,Volleyball,5.1%
21,Climbing,5%
22,Weight training,4.8%
23,Tenpin bowling,4.4%
24,Orienteering,3.8%
25,Boxing or wrestling,3.8%
26,Horse riding or pony trekking,3.7%
27,"Golf, putting, pitch and putt",3.6%
28,Ice skating,3.5%
29,Rowing or canoeing,3.5%
30,Roller skating/blading or skate boarding,3.3%
31,Darts,3.1%
32,Baseball,2.6%
33,Angling or fishing,1.9%
