,Month,"Number of unemployed people (in 1,000s)"
0,Oct 20,1692
1,Sep 20,1624
2,Aug 20,1522
3,Jul 20,1451
4,Jun 20,1381
5,May 20,1384
6,Apr 20,1367
7,Mar 20,1365
8,Feb 20,1364
9,Jan 20,1343
10,Dec 19,1290
11,Nov 19,1306
12,Oct 19,1281
13,Sep 19,1306
14,Aug 19,1314
15,Jul 19,1294
16,Jun 19,1329
17,May 19,1292
18,Apr 19,1304
19,Mar 19,1298
20,Feb 19,1343
21,Jan 19,1338
22,Dec 18,1363
23,Nov 18,1370
24,Oct 18,1373
25,Sep 18,1377
26,Aug 18,1363
27,Jul 18,1358
28,Jun 18,1362
29,May 18,1408
30,Apr 18,1416
31,Mar 18,1417
32,Feb 18,1419
33,Jan 18,1451
34,Dec 17,1463
35,Nov 17,1437
36,Oct 17,1422
37,Sep 17,1429
38,Aug 17,1452
39,Jul 17,1457
40,Jun 17,1485
41,May 17,1489
42,Apr 17,1520
43,Mar 17,1527
44,Feb 17,1550
45,Jan 17,1573
46,Dec 16,1585
47,Nov 16,1602
48,Oct 16,1613
49,Sep 16,1618
50,Aug 16,1668
51,Jul 16,1635
52,Jun 16,1643
53,May 16,1648
54,Apr 16,1666
55,Mar 16,1687
56,Feb 16,1700
57,Jan 16,1684
58,Dec 15,1688
59,Nov 15,1687
60,Oct 15,1715
61,Sep 15,1760
62,Aug 15,1779
63,Jul 15,1822
64,Jun 15,1849
65,May 15,1848
66,Apr 15,1813
67,Mar 15,1826
68,Feb 15,1840
69,Jan 15,1858
70,Dec 14,1870
71,Nov 14,1924
72,Oct 14,1953
73,Sep 14,1961
74,Aug 14,1972
75,Jul 14,2010
76,Jun 14,2061
77,May 14,2112
78,Apr 14,2161
79,Mar 14,2212
80,Feb 14,2256
81,Jan 14,2340
82,Dec 13,2357
83,Nov 13,2340
84,Oct 13,2404
85,Sep 13,2483
86,Aug 13,2504
87,Jul 13,2492
88,Jun 13,2515
89,May 13,2511
90,Apr 13,2525
91,Mar 13,2540
92,Feb 13,2584
93,Jan 13,2537
94,Dec 12,2535
95,Nov 12,2532
96,Oct 12,2534
97,Sep 12,2539
98,Aug 12,2551
99,Jul 12,2600
100,Jun 12,2577
101,May 12,2599
102,Apr 12,2625
103,Mar 12,2635
104,Feb 12,2655
105,Jan 12,2674
106,Dec 11,2689
107,Nov 11,2713
108,Oct 11,2677
109,Sep 11,2662
110,Aug 11,2611
111,Jul 11,2556
112,Jun 11,2540
113,May 11,2500
114,Apr 11,2462
115,Mar 11,2483
116,Feb 11,2492
117,Jan 11,2524
118,Dec 10,2503
119,Nov 10,2502
120,Oct 10,2513
121,Sep 10,2470
122,Aug 10,2476
123,Jul 10,2488
124,Jun 10,2488
125,May 10,2508
126,Apr 10,2510
127,Mar 10,2526
128,Feb 10,2496
129,Jan 10,2434
130,Dec 09,2453
131,Nov 09,2455
132,Oct 09,2484
133,Sep 09,2475
134,Aug 09,2484
135,Jul 09,2478
136,Jun 09,2448
137,May 09,2395
138,Apr 09,2296
139,Mar 09,2235
140,Feb 09,2128
141,Jan 09,2057
142,Dec 08,2003
143,Nov 08,1941
144,Oct 08,1875
145,Sep 08,1840
146,Aug 08,1793
147,Jul 08,1724
148,Jun 08,1680
149,May 08,1625
150,Apr 08,1667
151,Mar 08,1622
152,Feb 08,1622
153,Jan 08,1617
154,Dec 07,1608
155,Nov 07,1633
156,Oct 07,1629
157,Sep 07,1650
158,Aug 07,1645
159,Jul 07,1645
160,Jun 07,1658
161,May 07,1670
162,Apr 07,1692
163,Mar 07,1704
164,Feb 07,1708
165,Jan 07,1703
166,Dec 06,1701
167,Nov 06,1674
168,Oct 06,1691
169,Sep 06,1693
170,Aug 06,1690
171,Jul 06,1698
172,Jun 06,1685
173,May 06,1664
174,Apr 06,1633
175,Mar 06,1604
176,Feb 06,1584
177,Jan 06,1551
178,Dec 05,1567
179,Nov 05,1538
180,Oct 05,1500
181,Sep 05,1437
182,Aug 05,1420
183,Jul 05,1424
184,Jun 05,1437
185,May 05,1436
186,Apr 05,1420
187,Mar 05,1416
188,Feb 05,1447
189,Jan 05,1425
190,Dec 04,1423
191,Nov 04,1407
192,Oct 04,1397
193,Sep 04,1401
194,Aug 04,1405
195,Jul 04,1423
196,Jun 04,1437
197,May 04,1435
198,Apr 04,1437
199,Mar 04,1434
200,Feb 04,1436
201,Jan 04,1442
202,Dec 03,1457
203,Nov 03,1461
204,Oct 03,1473
205,Sep 03,1502
206,Aug 03,1504
207,Jul 03,1506
208,Jun 03,1467
209,May 03,1486
210,Apr 03,1517
211,Mar 03,1531
212,Feb 03,1517
213,Jan 03,1480
214,Dec 02,1516
215,Nov 02,1532
216,Oct 02,1546
217,Sep 02,1566
218,Aug 02,1539
219,Jul 02,1527
220,Jun 02,1520
221,May 02,1542
222,Apr 02,1522
223,Mar 02,1515
224,Feb 02,1508
225,Jan 02,1518
226,Dec 01,1520
227,Nov 01,1495
228,Oct 01,1487
229,Sep 01,1487
230,Aug 01,1483
231,Jul 01,1472
232,Jun 01,1468
233,May 01,1431
234,Apr 01,1459
235,Mar 01,1481
236,Feb 01,1516
237,Jan 01,1504
238,Dec 00,1520
239,Nov 00,1540
240,Oct 00,1571
241,Sep 00,1548
242,Aug 00,1529
243,Jul 00,1551
244,Jun 00,1599
245,May 00,1640
246,Apr 00,1655
247,Mar 00,1682
248,Feb 00,1685
249,Jan 00,1702
250,Dec 99,1684
251,Nov 99,1693
252,Oct 99,1687
253,Sep 99,1702
254,Aug 99,1705
255,Jul 99,1723
256,Jun 99,1743
257,May 99,1760
258,Apr 99,1773
259,Mar 99,1780
260,Feb 99,1794
261,Jan 99,1790
262,Dec 98,1764
263,Nov 98,1768
264,Oct 98,1782
265,Sep 98,1786
266,Aug 98,1807
267,Jul 98,1800
268,Jun 98,1791
269,May 98,1787
270,Apr 98,1799
271,Mar 98,1813
272,Feb 98,1816
273,Jan 98,1821
274,Dec 97,1864
275,Nov 97,1887
276,Oct 97,1909
277,Sep 97,1951
278,Aug 97,2022
279,Jul 97,2083
280,Jun 97,2051
281,May 97,2047
282,Apr 97,2052
283,Mar 97,2085
284,Feb 97,2131
285,Jan 97,2181
286,Dec 96,2229
287,Nov 96,2262
288,Oct 96,2287
289,Sep 96,2285
290,Aug 96,2285
291,Jul 96,2314
292,Jun 96,2340
293,May 96,2347
294,Apr 96,2350
295,Mar 96,2330
296,Feb 96,2357
297,Jan 96,2377
298,Dec 95,2353
299,Nov 95,2421
300,Oct 95,2438
301,Sep 95,2447
302,Aug 95,2439
303,Jul 95,2448
304,Jun 95,2445
305,May 95,2473
306,Apr 95,2490
307,Mar 95,2497
308,Feb 95,2496
309,Jan 95,2497
310,Dec 94,2521
311,Nov 94,2556
312,Oct 94,2608
313,Sep 94,2639
314,Aug 94,2691
315,Jul 94,2705
316,Jun 94,2736
317,May 94,2750
318,Apr 94,2769
319,Mar 94,2806
320,Feb 94,2845
321,Jan 94,2892
322,Dec 93,2892
323,Nov 93,2885
324,Oct 93,2892
325,Sep 93,2890
326,Aug 93,2906
327,Jul 93,2927
328,Jun 93,2931
329,May 93,2952
330,Apr 93,2988
331,Mar 93,3004
332,Feb 93,3023
333,Jan 93,2983
334,Dec 92,2932
335,Nov 92,2899
336,Oct 92,2850
337,Sep 92,2815
338,Aug 92,2816
339,Jul 92,2803
340,Jun 92,2777
341,May 92,2796
342,Apr 92,2782
343,Mar 92,2762
344,Feb 92,2735
345,Jan 92,2714
346,Dec 91,2697
347,Nov 91,2675
348,Oct 91,2652
349,Sep 91,2624
350,Aug 91,2585
351,Jul 91,2540
352,Jun 91,2492
353,May 91,2442
