,Country,Median household income in U.S. dollars
0,Luxembourg,52493
1,Norway,51489
2,Sweden,50514
3,Australia,46555
4,Denmark,44360
5,United States,43585
6,Canada,41280
7,South Korea,40861
8,Kuwait,40854
9,Netherlands,38584
10,New Zealand,35562
11,Hong Kong,35443
12,Austria,34911
13,Finland,34615
14,Japan,33822
15,Germany,33333
16,Taiwan,32762
17,Singapore,32360
18,United Kingdom,31617
19,France,31112
20,Israel,30364
21,Belgium,26703
22,Qatar,26555
23,Slovenia,25969
24,Ireland,25085
25,Saudi Arabia,24980
26,Bahrain,24633
27,Czech Republic,22913
28,Spain,21959
29,Malta,21141
30,Italy,20085
31,Cyprus,18242
32,Greece,17777
33,Slovakia,17415
34,Croatia,16231
35,Portugal,16186
36,Poland,15338
37,Belarus,15085
38,Argentina,14432
39,Lebanon,13004
40,Estonia,12577
41,Hungary,12445
42,Lithuania,12375
43,Iran,12046
44,Russia,11724
45,Mexico,11680
46,Montenegro,11519
47,Ukraine,11074
48,Latvia,10461
49,Serbia,8921
