,Month,Market share
0,Sep 20,6.67%
1,Aug 20,7.02%
2,Jul 20,6.87%
3,Jun 20,5.57%
4,May 20,7.41%
5,Apr 20,3.15%
6,Mar 20,6.45%
7,Feb 20,5.63%
8,Jan 20,6.54%
9,Dec 19,5.84%
10,Nov 19,6%
11,Oct 19,5.29%
12,Sep 19,3.71%
13,Aug 19,9.79%
14,Jul 19,6.57%
15,Jun 19,6.36%
16,May 19,6.85%
17,Apr 19,7.73%
18,Mar 19,6.14%
19,Feb 19,6.24%
20,Jan 19,5.36%
21,Dec 18,4.38%
22,Nov 18,4.31%
23,Oct 18,4.22%
24,Sep 18,4.07%
25,Aug 18,8.06%
26,Jul 18,8.21%
27,Jun 18,6.18%
28,May 18,7.1%
29,Apr 18,7.82%
30,Mar 18,6.32%
31,Feb 18,7.6%
32,Jan 18,7.22%
33,Dec 17,7%
34,Nov 17,7.38%
35,Oct 17,8.66%
36,Sep 17,6.95%
37,Aug 17,8.24%
38,Jul 17,7.96%
39,Jun 17,6.19%
40,May 17,7.39%
41,Apr 17,8.61%
42,Mar 17,5.49%
43,Feb 17,6.3%
44,Jan 17,6.69%
45,Dec 16,6.36%
46,Nov 16,7.02%
47,Oct 16,8.14%
