,Month,Number of players in thousands
0,Nov '20,101.61
1,Oct '20,130.55
2,Sep '20,86.58
3,Aug '20,96.58
4,Jul '20,89.65
5,Jun '20,79.95
6,May '20,85.74
7,Apr '20,88.12
8,Mar '20,85.15
9,Feb '20,78.39
10,Jan '20,76.74
11,Dec '19,103.48
12,Nov '19,69.87
13,Oct '19,73.47
14,Sept '19,64.64
15,Aug '19,64.52
16,Jul' 19,93.25
17,Jun '19,57.13
18,May '19,54.13
19,Apr '19,60.33
20,Mar '19,63.38
21,Feb '19,65.29
22,Jan '19,66.65
23,Dec '18,116.14
24,Nov '18,93.56
25,Oct '18,97.33
26,Sept '18,58.15
27,Aug '18,57.77
28,Jul '18,59.66
29,Jun '18,57.75
30,May '18,56.05
31,Aprl '18,58.29
32,Mar '18,57.37
33,Feb '18,69.2
34,Jan '18,72.85
35,Dec '17,71.12
36,Nov '17,84.02
37,Oct '17,97.25
38,Sept '17,73.41
39,Aug '17,69.17
40,Jul '17,66.95
41,Jun '17,69.9
42,May '17,73.19
43,Apr '17,72.62
44,Mar '17,74.66
45,Feb '17,77.38
46,Jan '17,77.41
47,Dec '16,71.44
48,Nov '16,77.06
49,Oct '16,81.15
50,Sept '16,74.8
51,Aug '16,72.11
52,Jul '16,72.64
53,Jun '16,72.45
54,May '16,77.97
55,Apr '16,81.21
56,Mar '16,83.43
57,Feb '16,83.54
58,Jan '16,80.58
