,Month,Reserve position in million U.S. dollars
0,Aug '20,6949
1,Jul '20,6959
2,Jun '20,6638
3,May '20,6483
4,Apr '20,6479
5,Mar '20,6359
6,Feb '20,6400
7,Jan '20,6425
8,Dec '19,6486
9,Nov '19,6439
10,Oct '19,7115
11,Sep '19,7063
12,Aug '19,7139
13,Jul '19,7197
14,Jun '19,6986
15,May '19,6958
16,Apr '19,7048
17,Mar '19,6422
18,Feb '19,6467
19,Jan '19,6480
20,Dec '18,6434
21,Nov '18,6497
22,Oct '18,6494
23,Sep '18,6279
24,Aug '18,6306
25,Jul '18,6249
26,Jun '18,6305
27,May '18,5618
28,Apr '18,5705
29,Mar '18,5766
30,Feb '18,5735
31,Jan '18,5800
32,Dec '17,5939
33,Nov '17,6490
34,Oct '17,6617
35,Sep '17,6756
36,Aug '17,6757
37,Jul '17,6657
38,Jun '17,6968
39,May '17,6950
40,Apr '17,6892
41,Mar '17,6571
42,Feb '17,6557
43,Jan '17,6772
44,Dec '16,6678
45,Nov '16,6773
46,Oct '16,7356
47,Sep '16,7314
48,Aug '16,7091
49,Jul '16,7098
50,Jun '16,7280
51,May '16,7301
52,Apr '16,7389
53,Mar '16,7426
54,Feb '16,7281
55,Jan '16,4181
