,State,Percentage of individuals accessing the internet anywhere
0,Washington,88.5%
1,New Hampshire,88.3%
2,Utah,87.7%
3,Idaho,87.6%
4,Wisconsin,87.5%
5,Nevada,87.5%
6,Oregon,87.4%
7,Illinois,86.5%
8,Wyoming,86%
9,Minnesota,85.6%
10,Virginia,85.2%
11,Maine,85.1%
12,Georgia,84.7%
13,Iowa,84.3%
14,Florida,84.2%
15,District of Columbia,84.1%
16,Maryland,84%
17,Arizona,83.9%
18,California,83.8%
19,Hawaii,83.6%
20,Alaska,83.6%
21,Missouri,83.3%
22,New Mexico,83.3%
23,Rhode Island,83.1%
24,Vermont,83.1%
25,Nebraska,83.1%
26,Louisiana,82.8%
27,South Carolina,82.7%
28,New Jersey,82.4%
29,Connecticut,82.4%
30,North Dakota,82.4%
31,Kansas,82.2%
32,Texas,81.7%
33,Indiana,81.5%
34,North Carolina,81.4%
35,Michigan,81.2%
36,New York,80.2%
37,Oklahoma,80.2%
38,Arkansas,80.1%
39,Delaware,80.1%
40,Colorado,79.5%
41,Ohio,79.4%
42,Kentucky,79%
43,South Dakota,79%
44,Alabama,78.7%
45,Mississippi,78.5%
46,Massachussetts,78.4%
47,Tennessee,78.2%
48,Pennsylvania,78.2%
49,Montana,78.1%
50,West Virginia,78%
