,Year,Expenditure in million GBP
0,2019 Q4,26766
1,2019 Q3,26779
2,2019 Q2,26609
3,2019 Q1,26429
4,2018 Q4,26312
5,2018 Q3,26201
6,2018 Q2,25989
7,2018 Q1,25876
8,2017 Q4,25609
9,2017 Q3,25245
10,2017 Q2,25026
11,2017 Q1,24658
12,2016 Q4,24231
13,2016 Q3,24016
14,2016 Q2,23640
15,2016 Q1,23351
16,2015 Q4,23090
17,2015 Q3,22849
18,2015 Q2,22768
19,2015 Q1,22661
20,2014 Q4,23162
21,2014 Q3,23447
22,2014 Q2,23345
23,2014 Q1,23378
24,2013 Q4,23348
25,2013 Q3,23090
26,2013 Q2,22811
27,2013 Q1,22783
28,2012 Q4,22841
29,2012 Q3,22179
30,2012 Q2,22008
31,2012 Q1,22197
