,Year,Inflation rate compared to previous year
0,2024*,8.7%
1,2023*,7.9%
2,2022*,6.7%
3,2021*,5.5%
4,2020*,4.1%
5,2019*,2%
6,2018,4.27%
7,2017,5.59%
8,2016,6.4%
9,2015,4.78%
10,2014,2.92%
11,2013,3.26%
12,2012,8.92%
13,2011,4.5%
14,2010,3.91%
15,2009,5.74%
16,2008,4.86%
17,2007,3.67%
18,2006,2.32%
19,2005,1.38%
20,2004,3.97%
21,2003,4.26%
22,2002,1.43%
23,2001,4.2%
24,2000,0.3%
25,1999,2.6%
26,1998,4.95%
27,1997,5.7%
28,1996,18.7%
29,1995,29.8%
30,1994,29%
31,1993,20.5%
32,1992,31.7%
33,1991,25.9%
34,1990,9.27%
35,1989,9.17%
36,1988,5.94%
37,1987,5.86%
38,1986,10.01%
39,1985,10.43%
40,1984,6.31%
