,Month,Consumer spending growth
0,Jul 13-19***,-
1,Jul 6-12**,0.5%
2,Jun 29-Jul 5,6.2%
3,Jun 22-28,-1.7%
4,Jun 15-21,-0.5%
5,Jun 8-14,3.9%
6,Jun 1-7,9.8%
7,May 25-31,3%
8,May 18-24,1.7%
9,May 11-17,10%
10,May 4-10,-5.2%
11,Apr 27-May 3,5.3%
12,Apr 20-26,-4.3%
13,Apr 13-19,3.9%
14,Apr 6-12,2.9%
15,Mar 30-Apr 5,-21.3%
16,Mar 23-29,-6.1%
17,Mar 16-22,5%
18,Mar 9-15,1.2%
19,Mar 2-8,-0.1%
20,Feb 24-Mar 1,-1.8%
21,Feb 17-23,1.4%
22,Feb 10-16,2.3%
23,Feb 3-9,-2.7%
24,Jan 27-Feb 2,-0.3%
25,Jan 20-26,1.2%
26,Jan 13-19,-0.1%
27,Jan 6-12,0%
