,Month,Index points
0,Jan 3,3.1
1,Jan 2,3.0
2,Jan 1,3.2
3,Dec 31,2.3
4,Dec 30,1.4
5,Dec 29,1.3
6,Dec 28,1.3
7,Dec 27,2.6
8,Dec 26,2.0
9,Dec 25,1.3
10,Dec 24,1.4
11,Dec 23,1.4
12,Dec 22,1.4
13,Dec 21,1.5
14,Dec 20,1.8
15,Dec 19,2.2
16,Dec 18,2.1
17,Dec 17,2.1
18,Dec 16,2.2
19,Dec 15,1.3
20,Dec 14,1.4
21,Dec 13,2.8
22,Dec 12,1.9
23,Dec 11,1.3
24,Dec 10,1.4
25,Dec 9,1.3
26,Dec 8,1.4
27,Dec 7,1.4
28,Dec 6,2.8
29,Dec 5,2.0
30,Dec 4,1.4
31,Dec 3,1.4
32,Dec 2,1.4
33,Dec 1,2.2
34,Nov 30,1.4
35,Nov 29,2.8
36,Nov 28,2.0
37,Nov 27,1.3
38,Nov 26,1.3
39,Nov 25,1.4
40,Nov 24,1.3
41,Nov 23,1.4
42,Nov 22,2.8
43,Nov 21,2.1
44,Nov 20,1.3
45,Nov 19,1.3
46,Nov 18,1.3
47,Nov 17,1.3
48,Nov 16,1.3
49,Nov 15,2.7
50,Nov 14,2.0
51,Nov 13,1.2
52,Nov 12,1.2
53,Nov 11,1.2
54,Nov 10,1.1
55,Nov 9,1.2
56,Nov 8,2.6
57,Nov 7,1.8
58,Nov 6,1.1
59,Nov 5,1.1
60,Nov 4,1.2
61,Nov 3,1.3
62,Nov 2,1.3
63,Nov 1,2.5
64,Oct 31,1.9
65,Oct 30,1.2
66,Oct 29,1.3
67,Oct 28,1.3
68,Oct 27,1.3
69,Oct 26,1.3
70,Oct 25,2.7
71,Oct 24,1.9
72,Oct 23,1.2
73,Oct 22,1.2
74,Oct 21,1.1
75,Oct 20,1.1
76,Oct 19,1.2
77,Oct 18,2.5
78,Oct 17,1.8
79,Oct 16,1.1
80,Oct 15,1.1
81,Oct 14,1.1
82,Oct 13,1.1
83,Oct 12,1.2
84,Oct 11,2.4
85,Oct 10,1.9
86,Oct 9,1.2
87,Oct 8,1.2
88,Oct 7,1.3
89,Oct 6,1.2
90,Oct 5,1.2
91,Oct 4,2.5
92,Oct 3,1.7
93,Oct 2,1.1
94,Oct 1,1.1
95,Sept 30,1.1
96,Sept 29,1.2
97,Sept 28,1.1
98,Sept 27,2.4
99,Sept 26,1.8
100,Sept 25,1.2
101,Sept 24,1.2
102,Sept 23,1.3
103,Sept 22,1.1
104,Sept 21,1.2
105,Sept 20,2.4
106,Sept 19,1.7
107,Sept 18,1.2
108,Sept 17,1.2
109,Sept 16,1.2
110,Sept 15,1.1
111,Sept 14,1.1
112,Sept 13,2.4
113,Sept 12,1.8
114,Sept 11,1.2
115,Sept 10,1.2
116,Sept 9,1.2
117,Sept 8,1.2
118,Sept 7,1.2
119,Sept 6,2.5
120,Sept 5,2.0
121,Sept 4,1.2
122,Sept 3,1.3
123,Sept 2,1.1
124,Sept 1,1.1
125,Aug 31,2.0
126,Aug 30,2.4
127,Aug 29,1.8
128,Aug 28,1.0
129,Aug 27,1.0
130,Aug 26,1.0
131,Aug 25,1.0
132,Aug 24,1.0
133,Aug 23,2.5
134,Aug 22,1.9
135,Aug 21,1.1
136,Aug 20,1.0
137,Aug 19,1.1
138,Aug 18,1.0
139,Aug 17,1.1
140,Aug 16,2.3
141,Aug 15,1.9
142,Aug 14,1.3
143,Aug 13,1.4
144,Aug 12,1.3
145,Aug 11,1.3
146,Aug 10,1.4
147,Aug 9,2.5
148,Aug 8,1.9
149,Aug 7,1.4
150,Aug 6,1.4
151,Aug 5,1.4
152,Aug 4,1.5
153,Aug 3,1.5
154,Aug 2,2.6
155,Aug 1,2.2
156,Jul 31,2.2
157,Jul 30,1.6
158,Jul 29,1.6
159,Jul 28,1.6
160,Jul 27,1.7
161,Jul 26,2.6
162,Jul 25,2.4
163,Jul 24,1.7
164,Jul 23,1.7
165,Jul 22,1.7
166,Jul 21,1.8
167,Jul 20,1.8
168,Jul 19,2.8
169,Jul 18,2.4
170,Jul 17,1.8
171,Jul 16,1.8
172,Jul 15,1.8
173,Jul 14,1.8
174,Jul 13,1.9
175,Jul 12,2.8
176,Jul 11,2.3
177,Jul 10,1.9
178,Jul 9,1.9
179,Jul 8,1.8
180,Jul 7,1.8
181,Jul 6,2.6
182,Jul 5,2.8
183,Jul 4,1.9
184,Jul 3,1.5
185,Jul 2,1.5
186,Jul 1,1.5
187,Jun 30,1.5
188,Jun 29,1.5
189,Jun 28,3.3
190,Jun 27,3.2
191,Jun 26,1.5
192,Jun 25,1.5
193,Jun 24,1.5
194,Jun 23,1.4
195,Jun 22,1.3
196,Jun 21,3.3
197,Jun 20,3.0
198,Jun 19,1.2
199,Jun 18,1.2
200,Jun 17,1.1
201,Jun 16,1.3
202,Jun 15,1.1
203,Jun 14,2.1
204,Jun 13,1.6
205,Jun 12,0.9
206,Jun 11,0.9
207,Jun 10,0.9
208,Jun 9,0.9
209,Jun 8,0.9
210,Jun 7,2.0
211,Jun 6,1.5
212,Jun 5,0.9
213,Jun 4,0.9
214,Jun 3,0.9
215,Jun 2,0.9
216,Jun 1,0.9
217,May 31,2.2
218,May 30,1.7
219,May 29,1.0
220,May 28,1.0
221,May 27,1.1
222,May 26,1.2
223,May 25,1.2
224,May 24,2.2
225,May 23,1.8
226,May 22,1.2
227,May 21,1.3
228,May 20,1.4
229,May 19,1.5
230,May 18,1.5
231,May 17,2.4
232,May 16,2.0
233,May 15,1.7
234,May 14,1.7
235,May 13,1.7
236,May 12,1.8
237,May 11,2.0
238,May 10,2.9
239,May 9,2.8
240,May 8,2.5
241,May 7,2.5
242,May 6,2.2
243,May 5,2.3
244,May 4,2.4
