,Country,Average number of children per woman
0,Singapore,1.38
1,Republic of Korea,1.44
2,United Arab Emirates,1.45
3,Puerto Rico,1.45
4,Bosnia and Herzegovina,1.47
5,Saint Lucia,1.48
6,Greece,1.5
7,Cyprus,1.51
8,Italy,1.51
9,Republic of Moldova,1.52
10,"China, Taiwan Province of China",1.53
11,Albania,1.53
12,Mauritius,1.54
13,Thailand,1.54
14,Qatar,1.56
15,Nepal,1.56
16,Croatia,1.56
17,Japan,1.57
18,Serbia,1.57
19,Brazil,1.58
20,North Macedonia,1.58
21,Brunei Darussalam,1.59
22,Portugal,1.59
23,Spain,1.59
24,Canada,1.59
