,Month,Units sold
0,Dec '19,400
1,Nov '19,439
2,Oct '19,497
3,Sep '19,627
4,Aug '19,405
5,Jul '19,493
6,Jun '19,572
7,May '19,525
8,Apr '19,464
9,Mar '19,814
10,Feb '19,435
11,Jan '19,820
12,Dec '18,449
13,Nov '18,425
14,Oct '18,488
15,Sep '18,512
16,Aug '18,333
17,Jul '18,409
18,Jun '18,494
19,May '18,548
20,Apr '18,637
21,Mar '18,777
22,Feb '18,373
23,Jan '18,683
24,Dec '17,451
25,Nov '17,524
26,Oct '17,616
27,Sep '17,482
28,Aug '17,374
29,Jul '17,387
30,Jun '17,428
31,May '17,420
32,Apr '17,502
33,Mar '17,860
34,Feb '17,382
35,Jan '17,514
36,Dec '16,588
37,Nov '16,630
38,Oct '16,519
39,Sep '16,671
40,Aug '16,511
41,Jul '16,546
42,Jun ´16,569
43,May '16,518
44,Apr '16,566
45,Mar '16,732
46,Feb '16,369
47,Jan '16,499
