,Year,Gross domestic product in billion international dollars
0,2021*,323.39
1,2020*,304.46
2,2019,304.17
3,2018,292.28
4,2017,276.2
5,2016,261.73
6,2015,247.92
7,2014,233.66
8,2013,218.58
9,2012,207.75
10,2011,186.76
11,2010,168.76
12,2009,154.44
13,2008,148.03
14,2007,137.05
15,2006,124.97
16,2005,112.66
17,2004,102.84
18,2003,94.97
19,2002,88.01
20,2001,83.53
21,2000,83.36
22,1999,75.21
23,1998,72.06
24,1997,72.45
25,1996,64.58
26,1995,56.54
27,1994,52.22
28,1993,47.32
29,1992,43.01
30,1991,43.42
31,1990,37.89
32,1989,34.4
33,1988,32.38
34,1987,30.45
35,1986,29.29
36,1985,27.54
37,1984,25.43
