,Buyer (Seller),Value in billion U.S. dollars
0,"Cheung Kong, Power Assets Holdings Ltd (Envestra Ltd)",4.3
1,Marathon Petroleum (Hess),2.9
2,Vitol BV (Royal Dutch Shell - Australian downstream),2.6
3,Energy Transfer Partners LP (Susser Holdings Corp),2.1
4,Aramco (Hanjin Energy),2.0
5,Laclede Group (Energen),1.6
6,SIBUR Holding OJSC (Rosneft),1.6
7,Macquarie Infrastructure Co LLC (International Matex Tank Terminals Inc),1.0
8,ONGC-India and Oil India (Government),0.9
9,"Essar Global Fund, Ltd (Essar)",0.8
