,Year,Q1 2008 base 100 index
0,2020 Q1,116.23
1,2019 Q4,116.16
2,2019 Q3,115.6
3,2019 Q2,115.21
4,2019 Q1,114.64
5,2018 Q4,114.06
6,2018 Q3,113.45
7,2018 Q2,112.59
8,2018 Q1,111.87
9,2017 Q4,111.33
10,2017 Q3,110.78
11,2017 Q2,110.0
12,2017 Q1,109.46
13,2016 Q4,108.91
14,2016 Q3,108.56
15,2016 Q2,108.4
16,2016 Q1,108.4
17,2015 Q4,108.41
18,2015 Q3,108.38
19,2015 Q2,108.38
20,2015 Q1,108.32
21,2014 Q4,108.47
22,2014 Q3,108.52
23,2014 Q2,108.5
24,2014 Q1,108.5
25,2013 Q4,108.46
26,2013 Q3,108.47
27,2013 Q2,108.5
28,2013 Q1,108.53
