,Quarter,Average rent in euros per square meter
0,Q2 2020,16.7
1,Q1 2020,16.75
2,Q4 2019,16.77
3,Q3 2019,16.62
4,Q2 2019,16.31
5,Q1 2019,16.33
6,Q4 2018,16.0
7,Q3 2018,16.04
8,Q2 2018,15.82
9,Q1 2018,15.56
10,Q4 2017,15.25
11,Q3 2017,15.23
12,Q2 2017,14.85
13,Q1 2017,14.7
14,Q4 2016,14.34
15,Q3 2016,14.11
16,Q2 2016,13.5
17,Q1 2016,13.38
18,Q4 2015,13.14
19,Q3 2015,13.27
20,Q2 2015,12.71
21,Q1 2015,12.61
22,Q4 2014,12.49
23,Q3 2014,12.61
24,Q2 2014,12.42
25,Q1 2014,12.37
26,Q4 2013,12.33
27,Q3 2013,12.62
28,Q2 2013,12.43
29,Q1 2013,12.28
30,Q4 2012,12.24
31,Q3 2012,12.61
32,Q2 2012,12.11
33,Q1 2012,12.06
34,Q4 2011,12.7
35,Q3 2011,12.19
36,Q2 2011,12.17
37,Q1 2011,12.1
38,Q4 2010,12.38
39,Q3 2010,12.21
40,Q2 2010,12.15
41,Q1 2010,12.3
