,Response,Share of internet users
0,Kenya,87.2%
1,Libya,74.2%
2,Seychelles,72.5%
3,Mauritius,67%
4,Tunisia,66.8%
5,Morocco,64.3%
6,Cabo Verde,63.3%
7,Reunion (FR),61.8%
8,Mali,61.6%
9,Nigeria,61.2%
10,Gabon,58.8%
11,Senegal,58.2%
12,Algeria,58%
13,Eswatini,57.3%
14,Zimbabwe,56.5%
15,Djibouti,55.5%
16,South Africa,55%
17,Zambia,53.7%
18,Namibia,53%
19,Egypt,48.1%
20,Botswana,47.5%
21,Rwanda,46.2%
22,Cote d'Ivoire,45.3%
23,Uganda,40.4%
24,Mayotte (FR),39.6%
25,Tanzania,38.7%
26,Ghana,37.8%
27,Saint Helena (UK),37.8%
28,Lesotho,31.9%
29,Benin,31.4%
30,Sudan,29.9%
31,Sao Tome & Principe,29.1%
32,Equatorial Guinea,25.4%
33,Cameroon,23.1%
34,Angola,21.5%
35,Mozambique,20.9%
36,Mauritania,20.9%
37,Comoros,20.5%
38,Guinea,18.4%
39,Gambia,18.3%
40,Ethiopia,17.8%
41,Burkina Faso,17.7%
42,Malawi,14.2%
43,Central African Republic,13.6%
44,Congo,13.3%
45,Sierra Leone,13.1%
46,Guinea-Bissau,12.7%
47,Liberia,12.3%
48,Togo,12.2%
49,Niger,11.5%
50,Somalia,10.7%
51,Burundi,9.7%
52,Madagascar,9.5%
53,"Congo, Democratic Republic",8.3%
54,Eritrea,8.3%
55,South Sudan,7.9%
56,Chad,6.3%
57,Western Sahara,4.7%
