,Country,"Births per 1,000 women aged 15-19"
0,French Guyana*,76.3
1,Panama*,75.9
2,Ecuador *,71.1
3,Mexico,70.5
4,Belize*,64.3
5,Colombia *,61.0
6,Regional average**,60.7
7,Suriname *,56.7
8,Argentina *,54.4
9,Brazil*,52.7
10,Saint Vincent and the Grenadines*,52.3
11,Cuba *,52.0
12,Jamaica *,51.7
13,Dominican Republic*,51.0
14,Costa Rica,50.4
15,Peru*,44.0
16,Uruguay,35.8
17,Antigua y Barbuda,27.7
18,Chile *,26.4
19,Aruba *,25.5
20,Curaçao,23.0
21,Puerto Rico,21.5
22,Martinique*,16.9
23,Guadeloupe*,15.7
24,Turks and Caicos,15.2
