,Month,Daily new cases
0,"Jan 5, 2021",15378
1,"Jan 4, 2021",10800
2,"Jan 3, 2021",14245
3,"Jan 2, 2021",11831
4,"Jan 1, 2021",22211
5,"Dec 31, 2020",23477
6,"Dec 30, 2020",16202
7,"Dec 29, 2020",11224
8,"Dec 28, 2020",8585
9,"Dec 27, 2020",8913
10,"Dec 26, 2020",10431
11,"Dec 25, 2020",19037
12,"Dec 24, 2020",18040
13,"Dec 23, 2020",14522
14,"Dec 22, 2020",13318
15,"Dec 21, 2020",10872
16,"Dec 20, 2020",15102
17,"Dec 19, 2020",16305
18,"Dec 18, 2020",15401
19,"Dec 17, 2020",18233
20,"Dec 16, 2020",17568
21,"Dec 15, 2020",14839
22,"Dec 14, 2020",12025
23,"Dec 13, 2020",17937
24,"Dec 12, 2020",19902
25,"Dec 11, 2020",18726
26,"Dec 10, 2020",16998
27,"Dec 9, 2020",12755
28,"Dec 8, 2020",14837
29,"Dec 7, 2020",13679
30,"Dec 6, 2020",18887
31,"Dec 5, 2020",21052
32,"Dec 4, 2020",24110
33,"Dec 3, 2020",23219
34,"Dec 2, 2020",20709
35,"Dec 1, 2020",19347
36,"Nov 30, 2020",16376
37,"Nov 29, 2020",20646
38,"Nov 28, 2020",26315
39,"Nov 27, 2020",28342
40,"Nov 26, 2020",29001
41,"Nov 25, 2020",25852
42,"Nov 24, 2020",23227
43,"Nov 23, 2020",22927
44,"Nov 22, 2020",28337
45,"Nov 21, 2020",34764
46,"Nov 20, 2020",37239
47,"Nov 19, 2020",36176
48,"Nov 18, 2020",34280
49,"Nov 17, 2020",32191
50,"Nov 16, 2020",27352
51,"Nov 15, 2020",33977
52,"Nov 14, 2020",37249
53,"Nov 13, 2020",40902
54,"Nov 12, 2020",37977
55,"Nov 11, 2020",32961
56,"Nov 10, 2020",35090
57,"Nov 9, 2020",25269
58,"Nov 8, 2020",32614
59,"Nov 7, 2020",39809
60,"Nov 6, 2020",37802
61,"Nov 5, 2020",34502
62,"Nov 4, 2020",30548
63,"Nov 3, 2020",28241
64,"Nov 2, 2020",22253
65,"Nov 1, 2020",29907
66,"Oct 31, 2020",31758
67,"Oct 30, 2020",31084
68,"Oct 29, 2020",26831
69,"Oct 28, 2020",24991
70,"Oct 27, 2020",21994
71,"Oct 26, 2020",17012
72,"Oct 25, 2020",21273
73,"Oct 24, 2020",19640
74,"Oct 23, 2020",19143
75,"Oct 22, 2020",16078
76,"Oct 21, 2020",15199
77,"Oct 20, 2020",10871
78,"Oct 19, 2020",9337
79,"Oct 18, 2020",11705
80,"Oct 17, 2020",10925
81,"Oct 16, 2020",10009
82,"Oct 15, 2020",8803
83,"Oct 14, 2020",7332
84,"Oct 13, 2020",5898
85,"Oct 12, 2020",4619
86,"Oct 11, 2020",5456
87,"Oct 10, 2020",5724
88,"Oct 9, 2020",5372
89,"Oct 8, 2020",4458
90,"Oct 7, 2020",3678
91,"Oct 6, 2020",2677
92,"Oct 5, 2020",2257
93,"Oct 4, 2020",2578
94,"Oct 3, 2020",2844
95,"Oct 2, 2020",2499
96,"Oct 1, 2020",2548
97,"Sep 30, 2020",1851
98,"Sep 29, 2020",1648
99,"Sep 28, 2020",1494
100,"Sep 27, 2020",1766
101,"Sep 26, 2020",1869
102,"Sep 25, 2020",1912
103,"Sep 24, 2020",1786
104,"Sep 23, 2020",1640
105,"Sep 22, 2020",1391
106,"Sep 21, 2020",1350
107,"Sep 20, 2020",1587
108,"Sep 19, 2020",1637
109,"Sep 18, 2020",1907
110,"Sep 17, 2020",1583
111,"Sep 16, 2020",1452
112,"Sep 15, 2020",1229
113,"Sep 14, 2020",1008
114,"Sep 13, 2020",1456
115,"Sep 12, 2020",1501
116,"Sep 11, 2020",1616
117,"Sep 10, 2020",1597
118,"Sep 9, 2020",1430
119,"Sep 8, 2020",1369
120,"Sep 7, 2020",1150
121,"Sep 6, 2020",1297
122,"Sep 5, 2020",1693
123,"Sep 4, 2020",1732
124,"Sep 3, 2020",1397
125,"Sep 2, 2020",1326
126,"Sep 1, 2020",975
127,"Aug 31 , 2020",996
128,"Aug 30 , 2020",1365
129,"Aug 29 , 2020",1444
130,"Aug 28, 2020",1460
131,"Aug 27 , 2020",1409
132,"Aug 26 , 2020",1366
133,"Aug 25 , 2020",876
134,"Aug 24 , 2020",953
135,"Aug 23 , 2020",1209
136,"Aug 22 , 2020",1071
137,"Aug 21 , 2020",947
138,"Aug 20 , 2020",840
139,"Aug 19 , 2020",642
140,"Aug 18, 2020",401
141,"Aug 17, 2020",320
142,"Aug 16, 2020",477
143,"Aug 15, 2020",629
144,"Aug 14, 2020",574
145,"Aug 13, 2020",522
146,"Aug 12, 2020",476
147,"Aug 11, 2020",412
148,"Aug 10, 2020",259
149,"Aug 9, 2020",463
150,"Aug 8, 2020",347
151,"Aug 7, 2020",552
152,"Aug 6, 2020",401
153,"Aug 5, 2020",384
154,"Aug 4, 2020",190
155,"Aug 3, 2020",159
156,"Aug 2 , 2020",238
157,"Aug 1 , 2020",295
158,"Jul 31 , 2020",379
159,"Jul 30 , 2020",382
160,"Jul 29 , 2020",288
161,"Jul 28 , 2020",202
162,"Jul 27 , 2020",168
163,"Jul 26 , 2020",254
164,"Jul 25 , 2020",274
165,"Jul 24 , 2020",252
166,"Jul 23, 2020",306
167,"Jul 22, 2020",280
168,"Jul 21 , 2020",128
169,"Jul 20 , 2020",190
170,"Jul 19, 2020",218
171,"Jul 18 , 2020",249
172,"Jul 17 , 2020",231
173,"Jul 16 , 2020",230
174,"Jul 15 , 2020",162
175,"Jul 14 , 2020",114
176,"Jul 13 , 2020",169
177,"Jul 12 , 2020",234
178,"Jul 11 , 2020",188
179,"Jul 10 , 2020",276
180,"Jul 9 , 2020",214
181,"Jul 8, 2020",193
182,"Jul 7, 2020",137
183,"Jul 6, 2020",208
184,"Jul 5, 2020",192
185,"Jul 4, 2020",235
186,"Jul 3, 2020",223
187,"Jul 2, 2020",201
188,"Jul 1, 2020",182
189,"Jun 30, 2020",142
190,"Jun 29, 2020",126
191,"Jun 28, 2020",174
192,"Jun 27, 2020",175
193,"Jun 26, 2020",255
194,"Jun 25, 2020",296
195,"Jun 24, 2020",577
