,Title (release date),Revenue in thousand U.S. dollars
0,Virtual Desktop (March 2016),2467.79
1,Vanishing Realms (April 2016),1973.12
2,Serious Sam VR: The Last Hope (September 2017),1508.92
3,Sairento VR (December 2016)*,956.46
4,The Talos Priciple VR (October 2017),827.48
5,Paranormal Activity the Lost Soul (August 2017),798.24
6,Doom VFR (December 2017),781.23
7,Batman: Arhkam VR (April 2017),681.44
8,Pavlov VR (February 2017),593.83
9,I Expect You To Die (April 2017),559.75
10,Dead Effect 2 VR (October 2017),541.5
11,QuiVr (December 2016),486.74
