,Year,Gross domestic product in billion international dollars
0,2021*,323.95
1,2020*,307.19
2,2019*,308.67
3,2018,301.17
4,2017,290.39
5,2016,299.11
6,2015,287.63
7,2014,282.99
8,2013,276.47
9,2012,268.61
10,2011,247.18
11,2010,220.85
12,2009,223.61
13,2008,238.82
14,2007,228.59
15,2006,210.03
16,2005,189.6
17,2004,167.04
18,2003,146.86
19,2002,122.88
20,2001,117.43
21,2000,114.67
22,1999,107.13
23,1998,107.53
24,1997,102.59
25,1996,98.39
26,1995,96.05
27,1994,92.53
28,1993,83.41
29,1992,60.3
30,1991,32.25
31,1990,52.88
32,1989,69.09
33,1988,52.81
34,1987,56.71
35,1986,51.18
36,1985,46.21
37,1984,46.78
