,Sports Brand in Australia,Brand value in million dollars
0,Penrith Panthers (NRL),46.2
1,Collingwood Magpies (AFL),39.1
2,Canterbury-Bankstown Bulldogs (NRL),34.5
3,West Coast Eagles (NRL),32.6
4,Hawthorn Hawks (AFL),27.1
5,Geelong Cats (AFL),26.8
6,Carlton Blues (AFL),25.3
7,Fremantle Dockers (AFL),24.3
8,Essendon Bombers (AFL),24.0
9,Sydney Swans (AFL),22.7
10,Parramatta Eels (NRL),21.3
11,Richmond Tigers (AFL),21.1
12,Adelaide Crows (AFL),20.9
13,Brisbane Lions (AFL),20.4
14,Brisbane Broncos (NRL),18.6
15,Port Adelaide Power (AFL),17.8
16,St Kilda Saints (AFL),16.5
17,Canberra Raiders (NRL),16.0
18,Melbourne Demons (AFL),15.0
19,Sydney Roosters (NRL),14.5
